Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,24,6-2,213,L/-,4,"February 25, 1987"
63,Joakim Andersson,C,22,6-2,211,L/-,NA,"February 5, 1989"
44,Todd Bertuzzi,RW,36,6-3,229,L/-,15,"February 2, 1975"
76,Fabian Brunnstrom,LW,26,6-1,206,L/-,2,"February 6, 1985"
11,Dan Cleary,LW,33,6-1,205,L/-,13,"December 18, 1978"
22,Mike Commodore,D,32,6-4,227,R/-,10,"November 7, 1979"
29,Ty Conklin,G,35,6-1,185,-/L,8,"March 30, 1976"
41,Chris Conner,RW,28,5-8,190,L/-,5,"December 23, 1983"
13,Pavel Datsyuk,C,33,5-11,194,L/-,9,"July 20, 1978"
17,Patrick Eaves,RW,27,5-11,203,R/-,6,"May 1, 1984"
48,Cory Emmerton,C,23,6-0,191,L/-,1,"June 1, 1988"
52,Jonathan Ericsson,D,27,6-4,218,L/-,4,"March 2, 1984"
51,Valtteri Filppula,C,27,6-0,189,L/-,6,"March 20, 1984"
93,Johan Franzén,C,32,6-4,232,L/-,6,"December 23, 1979"
43,Darren Helm,C,25,6-0,192,L/-,4,"January 21, 1987"
96,Tomas Holmström,LW,39,6-0,198,L/-,14,"January 23, 1973"
35,Jimmy Howard,G,27,6-1,218,-/L,5,"March 26, 1984"
26,Jiri Hudler,C,28,5-10,190,L/-,6,"January 4, 1984"
37,Doug Janik,D,31,6-2,211,L/-,7,"March 26, 1980"
4,Jakub Kindl,D,24,6-3,199,L/-,2,"February 10, 1987"
55,Niklas Kronwall,D,31,6-0,194,L/-,7,"January 12, 1981"
5,Nicklas Lidström,D,41,6-1,192,L/-,19,"April 28, 1970"
31,Joey MacDonald,G,31,6-0,197,-/L,5,"February 7, 1980"
20,Drew Miller,LW,27,6-2,183,L/-,4,"February 17, 1984"
39,Jan Mursak ,LW,24,5-11,190,R/-,1,"January 20, 1988"
14,Gustav Nyquist,LW,22,5-11,180,L/-,NA,"September 1, 1989"
27,Kyle Quincey,D,26,6-2,210,L/-,6,"August 12, 1985"
NA,Riley Sheahan,C,20,6-4,204,L/-,NA,"December 7, 1991"
2,Brendan Smith,D,22,6-2,201,L/-,NA,"February 8, 1989"
23,Brad Stuart,D,32,6-2,215,L/-,11,"November 6, 1979"
18,Ian White,D,27,5-10,191,R/-,6,"June 4, 1984"
40,Henrik Zetterberg,LW,31,6-0,197,L/-,8,"October 9, 1980"
