Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,6.9,0.931,100,3360,2918,53.5,NA,NA,133,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
League Average,7.2,0.928,NA,3577,3577,NA,NA,NA,147,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
