Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,28.9,82,43,25,14,100,.610,231,211,0.14,-0.03,2.82,2.57,70,294,23.81,55,288,80.90,3,8,2429,9.5,2322,.909,100.0,6
League Average,28.2,82,41,31,10,92,.562,218,218,,,,,47,251,18.66,47,251,81.34,6,6,2453,8.9,2453,.911,,6
