Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Henrik Zetterberg,82,17,51,68,15,22,15,0,2,0,40,0,11,195,8.7,1617,19:43,4.9,2.7,7.6,30,58,705,657,0.5176211453744494,2017
Gustav Nyquist,76,12,36,48,0,18,10,0,2,2,29,0,7,165,7.3,1325,17:26,2.9,1.7,4.7,20,54,4,1,0.8,2017
Tomas Tatar,82,25,21,46,-8,26,20,0,5,5,18,0,3,166,15.1,1417,17:17,3.9,1.5,5.4,24,92,8,5,0.6153846153846154,2017
Frans Nielsen,79,17,24,41,-19,18,11,2,4,0,13,0,11,162,10.5,1355,17:09,2.6,1,3.6,54,64,653,561,0.5378912685337727,2017
Thomas Vanek,48,15,23,38,2,16,10,0,5,2,17,0,6,99,15.2,702,14:37,3.9,1,4.9,2,23,6,9,0.4,2017
Anthony Mantha,60,17,19,36,10,53,16,0,1,3,17,0,2,133,12.8,954,15:54,3.2,1.7,4.9,33,46,5,6,0.45454545454545453,2017
Mike Green,72,14,22,36,-20,40,11,0,3,2,15,0,7,125,11.2,1696,23:33,3.4,2.4,5.8,92,67,0,0,NA,2017
Dylan Larkin,80,17,15,32,-28,37,11,1,5,1,13,0,2,178,9.6,1292,16:09,1.8,0.5,2.3,22,67,196,236,0.4537037037037037,2017
Andreas Athanasiou,64,18,11,29,-7,28,17,0,1,3,8,0,3,120,15,862,13:28,2.8,0.8,3.6,21,30,37,46,0.4457831325301205,2017
Justin Abdelkader,64,7,14,21,-20,50,2,0,5,1,11,1,2,104,6.7,1066,16:40,0.1,0.5,0.7,27,144,5,12,0.29411764705882354,2017
Darren Helm,50,8,9,17,-6,20,6,0,2,1,6,1,2,98,8.2,768,15:22,0.6,0.7,1.4,18,71,216,204,0.5142857142857142,2017
Luke Glendening,74,3,11,14,-10,26,3,0,0,0,10,0,1,76,3.9,956,12:55,-0.8,0.8,0,62,150,307,261,0.5404929577464789,2017
Nick Jensen,49,4,9,13,-7,12,4,0,0,0,8,1,0,59,6.8,870,17:45,0.8,1.5,2.3,56,55,0,0,NA,2017
Niklas Kronwall,57,2,11,13,-7,32,2,0,0,0,5,0,6,67,3,1109,19:27,0.3,2.1,2.3,81,77,0,0,NA,2017
Riley Sheahan,80,2,11,13,-29,14,1,0,1,0,9,0,2,109,1.8,1118,13:58,-1.5,0.2,-1.2,38,81,236,230,0.5064377682403434,2017
Danny DeKeyser,82,4,8,12,-22,33,4,0,0,2,8,0,0,85,4.7,1800,21:57,-0.5,2.5,2,170,100,0,0,NA,2017
Xavier Ouellet,66,3,9,12,2,51,3,0,0,0,9,0,0,89,3.4,1186,17:58,0.2,3,3.2,87,73,0,2,0,2017
Jonathan Ericsson,51,1,8,9,-2,63,1,0,0,0,8,0,0,43,2.3,980,19:13,-0.1,2.2,2.1,36,86,0,0,NA,2017
Drew Miller,55,5,2,7,-12,18,5,0,0,1,2,0,0,43,11.6,565,10:17,-0.3,0.2,0,52,71,2,1,0.6666666666666666,2017
Ryan Sproul,27,1,6,7,-8,6,0,0,1,0,4,0,2,46,2.2,409,15:09,0.4,0.3,0.7,14,12,0,0,NA,2017
Steve Ott,42,3,3,6,-6,63,3,0,0,0,3,0,0,33,9.1,439,10:28,-0.2,0.3,0.1,17,101,102,74,0.5795454545454546,2017
Alexey Marchenko,30,0,6,6,6,12,0,0,0,0,5,1,0,27,0,539,17:59,0,1.8,1.8,44,8,0,0,NA,2017
Brendan Smith,33,2,3,5,-1,34,1,0,1,1,1,0,2,39,5.1,618,18:44,0,1.4,1.4,38,43,0,0,NA,2017
Tomas Nosek,11,1,0,1,-1,2,1,0,0,0,0,0,0,19,5.3,111,10:07,-0.1,0.1,0,5,10,37,31,0.5441176470588235,2017
Matthew Lorito,2,0,1,1,0,0,0,0,0,0,1,0,0,6,0,29,14:26,0,0,0.1,0,0,0,0,NA,2017
Ben Street,6,0,1,1,1,0,0,0,0,0,1,0,0,8,0,50,8:15,0,0.1,0.1,0,3,0,0,NA,2017
Tyler Bertuzzi,7,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,64,9:06,-0.2,0,-0.1,0,12,1,1,0.5,2017
Mitch Callahan,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,6:49,-0.1,0,0,2,3,0,0,NA,2017
Jared Coreau,14,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,712,50:50,0,0,1,0,0,0,0,NA,2017
Jimmy Howard,26,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,1397,53:43,0,0,5.1,0,0,0,0,NA,2017
Tomas Jurco,16,0,0,0,-8,2,0,0,0,0,0,0,0,12,0,161,10:02,-0.5,-0.1,-0.6,3,6,0,1,0,2017
Brian Lashoff,5,0,0,0,-3,0,0,0,0,0,0,0,0,1,0,63,12:31,-0.1,-0.1,-0.2,4,8,0,0,NA,2017
Petr Mrazek,50,0,0,0,0,2,0,0,0,0,0,0,0,0,NA,2858,57:09,0,0,6.5,0,0,0,0,NA,2017
