Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Henrik Zetterberg,82,13,37,50,-15,24,11,0,2,3,17,0,20,214,6.1,1592,19:25,2.7,1.2,3.9,26,54,539,536,0.5013953488372093,2016
Pavel Datsyuk,66,16,33,49,7,14,8,0,8,1,21,0,12,181,8.8,1297,19:39,3.8,1.8,5.6,33,70,599,517,0.5367383512544803,2016
Dylan Larkin,80,23,22,45,11,34,19,0,4,5,21,0,1,221,10.4,1324,16:33,4,2,6,25,65,41,59,0.41,2016
Tomas Tatar,81,21,24,45,4,24,14,0,7,3,16,0,8,165,12.7,1162,14:21,4.2,1.5,5.8,18,74,6,18,0.25,2016
Gustav Nyquist,82,17,26,43,-2,34,10,0,7,3,21,0,5,161,10.6,1244,15:10,3.3,1.4,4.7,19,58,0,2,0,2016
Justin Abdelkader,82,19,23,42,-16,120,13,0,6,4,16,0,7,155,12.3,1512,18:26,2.7,1.1,3.8,44,207,5,9,0.35714285714285715,2016
Mike Green,74,7,28,35,-6,38,2,0,5,0,13,0,15,124,5.6,1463,19:46,2.9,2.9,5.9,71,106,0,2,0,2016
Brad Richards,68,10,18,28,4,8,6,0,4,1,8,0,10,164,6.1,1006,14:48,1.5,1.3,2.8,12,16,124,126,0.496,2016
Darren Helm,77,13,13,26,-2,32,13,0,0,3,13,0,0,165,7.9,1160,15:04,1.2,1.3,2.4,26,115,39,38,0.5064935064935064,2016
Niklas Kronwall,64,3,23,26,-21,30,3,0,0,2,9,0,14,61,4.9,1409,22:01,1.5,1.5,3.1,81,93,0,0,NA,2016
Riley Sheahan,81,14,11,25,-8,12,10,1,3,2,10,0,1,128,10.9,1234,15:14,1,1.1,2.1,40,72,358,424,0.4578005115089514,2016
Luke Glendening,81,8,13,21,4,46,8,0,0,3,13,0,0,88,9.1,1181,14:35,0,1.5,1.5,71,143,614,511,0.5457777777777778,2016
Danny DeKeyser,78,8,12,20,2,44,8,0,0,3,12,0,0,72,11.1,1701,21:48,1,4.2,5.2,107,88,0,0,NA,2016
Jonathan Ericsson,71,3,12,15,2,56,3,0,0,0,12,0,0,68,4.4,1316,18:32,0.4,3.3,3.7,48,121,0,0,NA,2016
Brendan Smith,63,3,12,15,1,62,2,0,1,0,12,0,0,82,3.7,1109,17:36,0.6,2.7,3.4,42,94,0,0,NA,2016
Andreas Athanasiou,37,9,5,14,1,5,8,1,0,1,5,0,0,53,17,334,9:01,1.7,0.4,2.1,8,17,53,76,0.4108527131782946,2016
Teemu Pulkkinen,36,6,6,12,2,14,5,0,1,1,4,0,2,65,9.2,416,11:34,0.9,0.6,1.4,8,5,0,1,0,2016
Kyle Quincey,47,4,7,11,1,36,4,0,0,2,7,0,0,62,6.5,929,19:46,0.5,2.3,2.8,62,49,0,0,NA,2016
Alexey Marchenko,66,2,9,11,-5,10,2,0,0,0,8,1,0,40,5,1111,16:50,0.1,2.2,2.3,100,47,0,0,NA,2016
Tomas Jurco,44,4,2,6,-6,16,4,0,0,0,2,0,0,43,9.3,404,9:11,0,0.2,0.2,4,50,1,0,1,2016
Jakub Kindl,25,2,4,6,3,14,2,0,0,1,4,0,0,37,5.4,412,16:28,0.4,1.2,1.6,15,13,0,0,NA,2016
Anthony Mantha,10,2,1,3,-6,2,0,0,2,1,1,0,0,18,11.1,117,11:42,0.2,-0.1,0.1,3,4,0,0,NA,2016
Joakim Andersson,29,1,2,3,1,6,1,0,0,0,2,0,0,17,5.9,262,9:01,-0.3,0.3,0.1,5,14,32,38,0.45714285714285713,2016
Drew Miller,28,1,1,2,-5,2,1,0,0,0,1,0,0,27,3.7,363,12:58,-0.7,0.2,-0.5,33,39,1,1,0.5,2016
Petr Mrazek,54,0,2,2,0,2,0,0,0,0,2,0,0,0,NA,2961,54:50,0,0,9.5,0,0,0,0,NA,2016
Johan Franzén,2,0,1,1,0,2,0,0,0,0,0,0,1,3,0,26,12:57,0,0,0.1,0,3,0,1,0,2016
Jimmy Howard,37,0,1,1,0,2,0,0,0,0,1,0,0,0,NA,1974,53:21,0,0,4.8,0,0,0,0,NA,2016
Xavier Ouellet,5,0,1,1,-2,2,0,0,0,0,1,0,0,4,0,81,16:15,0,0,0,3,5,0,0,NA,2016
Landon Ferraro,10,0,0,0,-3,7,0,0,0,0,0,0,0,12,0,96,9:33,-0.3,0,-0.3,5,22,1,3,0.25,2016
Tomas Nosek,6,0,0,0,-2,2,0,0,0,0,0,0,0,2,0,61,10:08,-0.2,0,-0.2,0,6,4,4,0.5,2016
Eric Tangradi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,7,6:55,0,0,0,0,1,0,1,0,2016
