Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,6.5,0.931,99.7,3406,3180,51.7,NA,NA,130,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
League Average,7,0.93,NA,3539,3539,NA,NA,NA,142,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
