Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,29.3,82,32,40,10,74,.451,224,272,-0.57,0.04,2.73,3.32,39,216,18.06,56,245,77.14,7,7,2394,9.4,2761,.901,99.8,2
League Average,27.9,82,41,32,9,91,.553,244,244,,,,,47,239,19.78,47,239,80.22,8,8,2579,9.5,2579,.905,,5
