Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,28.6,82,39,28,15,93,.567,217,221,-0.14,-0.04,2.65,2.70,50,282,17.73,50,295,83.05,3,5,2456,8.8,2400,.908,100.2,5
League Average,27.5,82,41,31,10,92,.562,219,219,,,,,48,269,17.89,48,269,82.11,7,7,2463,8.9,2463,.911,,5
