Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,22,6-2,213,L/-,2,"February 25, 1987"
44,Todd Bertuzzi,RW,34,6-3,229,L/-,13,"February 2, 1975"
11,Dan Cleary,LW,31,6-1,205,L/-,11,"December 18, 1978"
13,Pavel Datsyuk,C,31,5-11,194,L/-,7,"July 20, 1978"
33,Kris Draper,C,38,5-10,188,L/-,18,"May 24, 1971"
17,Patrick Eaves,RW,25,5-11,203,R/-,4,"May 1, 1984"
52,Jonathan Ericsson,D,25,6-4,218,L/-,2,"March 2, 1984"
51,Valtteri Filppula,C,25,6-0,189,L/-,4,"March 20, 1984"
93,Johan Franzén,C,30,6-4,232,L/-,4,"December 23, 1979"
43,Darren Helm,C,23,6-0,192,L/-,2,"January 21, 1987"
96,Tomas Holmström,LW,37,6-0,198,L/-,12,"January 23, 1973"
35,Jimmy Howard,G,25,6-1,218,-/L,3,"March 26, 1984"
37,Doug Janik,D,29,6-2,211,L/-,5,"March 26, 1980"
46,Jakub Kindl,D,22,6-3,199,L/-,NA,"February 10, 1987"
55,Niklas Kronwall,D,29,6-0,194,L/-,5,"January 12, 1981"
22,Brett Lebda,D,28,5-9,195,L/-,4,"January 15, 1982"
21,Ville Leino,LW,26,6-1,190,L/-,1,"October 6, 1983"
5,Nicklas Lidström,D,39,6-1,192,L/-,17,"April 28, 1970"
3,Andreas Lilja,D,34,6-3,220,L/-,8,"July 13, 1975"
18,Kirk Maltby,LW,37,6-0,195,R/-,15,"December 22, 1972"
24,Brad May,LW,38,6-1,213,L/-,17,"November 29, 1971"
14,Derek Meech,D,25,5-11,200,L/-,3,"April 21, 1984"
20,Drew Miller,LW,25,6-2,183,L/-,2,"February 17, 1984"
32,Kris Newbury,C,27,5-11,205,L/-,3,"February 19, 1982"
30,Chris Osgood,G,37,5-10,180,-/L,15,"November 26, 1972"
28,Brian Rafalski,D,36,5-10,194,R/-,9,"September 28, 1973"
42,Mattias Ritola,C,22,6-0,192,L/-,1,"March 14, 1987"
23,Brad Stuart,D,30,6-2,215,L/-,9,"November 6, 1979"
29,Jason Williams,C,29,5-11,192,R/-,8,"August 11, 1980"
40,Henrik Zetterberg,LW,29,6-0,197,L/-,6,"October 9, 1980"
