Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,27,6-2,213,L/-,7,"February 25, 1987"
18,Joakim Andersson,C,25,6-2,211,L/-,3,"February 5, 1989"
11,Dan Cleary,RW,36,6-1,205,L/-,16,"December 18, 1978"
72,Erik Cole,LW,36,6-2,210,L/-,12,"November 6, 1978"
13,Pavel Datsyuk,C,36,5-11,194,L/-,12,"July 20, 1978"
65,Danny DeKeyser,D,24,6-3,190,L/-,2,"March 7, 1990"
52,Jonathan Ericsson,D,30,6-4,218,L/-,7,"March 2, 1984"
29,Landon Ferraro,C,23,6-0,176,R/-,1,"August 8, 1991"
93,Johan Franzén,C,35,6-4,232,L/-,9,"December 23, 1979"
41,Luke Glendening,C,25,5-11,190,R/-,1,"April 28, 1989"
50,Jonas Gustavsson,G,30,6-4,201,-/L,5,"October 24, 1984"
43,Darren Helm,C,28,6-0,192,L/-,7,"January 21, 1987"
35,Jimmy Howard,G,30,6-1,218,-/L,8,"March 26, 1984"
26,Tomas Jurco,RW,22,6-1,188,L/-,1,"December 28, 1992"
4,Jakub Kindl,D,27,6-3,199,L/-,5,"February 10, 1987"
55,Niklas Kronwall,D,34,6-0,194,L/-,10,"January 12, 1981"
23,Brian Lashoff,D,24,6-3,213,L/-,2,"July 16, 1990"
47,Alexey Marchenko,D,23,6-3,210,R/-,1,"January 2, 1992"
38,Thomas McCollum,G,25,6-2,215,-/L,1,"December 7, 1989"
20,Drew Miller,LW,30,6-2,183,L/-,7,"February 17, 1984"
34,Petr Mrazek,G,22,6-1,190,-/L,2,"February 14, 1992"
49,Andrej Nestrasil,C,23,6-3,200,L/-,NA,"February 22, 1991"
14,Gustav Nyquist,C,25,5-11,180,L/-,3,"September 1, 1989"
61,Xavier Ouellet,D,21,6-1,193,L/-,1,"July 29, 1993"
56,Teemu Pulkkinen,LW,23,5-10,185,R/-,1,"January 2, 1992"
27,Kyle Quincey,D,29,6-2,210,L/-,9,"August 12, 1985"
15,Riley Sheahan,C,23,6-4,204,L/-,3,"December 7, 1991"
2,Brendan Smith,D,25,6-2,201,L/-,3,"February 8, 1989"
21,Tomas Tatar,C,24,5-10,173,L/-,3,"December 1, 1990"
90,Stephen Weiss,C,31,5-11,190,L/-,12,"April 3, 1983"
40,Henrik Zetterberg,LW,34,6-0,197,L/-,11,"October 9, 1980"
28,Marek Zidlicky,D,37,5-11,190,R/-,10,"February 3, 1977"
