Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,29,6-2,213,L/-,9,"February 25, 1987"
72,Andreas Athanasiou,C,22,6-2,190,L/-,1,"August 6, 1994"
59,Tyler Bertuzzi,LW,21,6-1,199,L/-,NA,"February 24, 1995"
57,Mitch Callahan,RW,25,5-11,198,R/-,1,"August 17, 1991"
31,Jared Coreau,G,25,6-5,214,-/-,NA,"November 5, 1991"
65,Danny DeKeyser,D,26,6-3,190,L/-,4,"March 7, 1990"
52,Jonathan Ericsson,D,32,6-4,218,L/-,9,"March 2, 1984"
41,Luke Glendening,C,27,5-11,190,R/-,3,"April 28, 1989"
25,Mike Green,D,31,6-1,210,R/-,11,"October 12, 1985"
43,Darren Helm,C,30,6-0,192,L/-,9,"January 21, 1987"
35,Jimmy Howard,G,32,6-1,218,-/L,10,"March 26, 1984"
3,Nick Jensen,D,26,6-1,205,R/-,NA,"September 21, 1990"
26,Tomas Jurco,RW,24,6-1,188,L/-,3,"December 28, 1992"
55,Niklas Kronwall,D,36,6-0,194,L/-,12,"January 12, 1981"
71,Dylan Larkin,C,20,6-1,198,L/-,1,"July 30, 1996"
23,Brian Lashoff,D,26,6-3,213,L/-,3,"July 16, 1990"
22,Matthew Lorito,LW,26,5-9,171,L/-,NA,"July 3, 1990"
39,Anthony Mantha,RW,22,6-5,234,L/-,1,"September 16, 1994"
53,Alexey Marchenko,D,25,6-3,210,R/-,3,"January 2, 1992"
20,Drew Miller,LW,32,6-2,183,L/-,9,"February 17, 1984"
34,Petr Mrazek,G,24,6-1,190,-/L,4,"February 14, 1992"
51,Frans Nielsen,C,32,6-1,186,L/-,10,"April 24, 1984"
83,Tomas Nosek,LW,24,6-2,205,L/-,1,"September 1, 1992"
14,Gustav Nyquist,RW,27,5-11,180,L/-,5,"September 1, 1989"
29,Steve Ott,C,34,6-0,193,L/-,13,"August 19, 1982"
61,Xavier Ouellet,D,23,6-1,193,L/-,3,"July 29, 1993"
77,Dan Renouf,D,22,6-3,198,L/-,NA,"June 1, 1994"
18,Robbie Russo,D,23,6-0,190,R/-,NA,"February 15, 1993"
15,Riley Sheahan,C,25,6-4,204,L/-,5,"December 7, 1991"
2,Brendan Smith,D,27,6-2,201,L/-,5,"February 8, 1989"
48,Ryan Sproul,D,24,6-4,205,R/-,1,"January 13, 1993"
46,Ben Street,C,29,5-11,200,L/-,4,"February 13, 1987"
37,Evgeny Svechnikov,RW,20,6-3,207,L/-,NA,"October 31, 1996"
21,Tomas Tatar,LW,26,5-10,173,L/-,5,"December 1, 1990"
62,Thomas Vanek,LW,33,6-2,214,R/-,11,"January 19, 1984"
40,Henrik Zetterberg,LW,36,6-0,197,L/-,13,"October 9, 1980"
