Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Dylan Larkin,76,32,41,73,-6,75,23,2,7,4,32,1,8,287,11.1,1660,21:51,5.9,1.6,7.5,38,80,865,722,0.5450535601764335,2019
Andreas Athanasiou,76,30,24,54,-9,38,27,0,3,4,16,0,8,216,13.9,1290,16:58,4.8,1.1,5.9,26,33,171,228,0.42857142857142855,2019
Gustav Nyquist,62,16,33,49,0,8,15,0,1,2,23,0,10,163,9.8,1123,18:07,3.4,1.2,4.6,16,24,8,10,0.4444444444444444,2019
Anthony Mantha,67,25,23,48,-8,30,18,0,7,1,17,0,6,198,12.6,1194,17:50,4,1,5,23,67,22,28,0.44,2019
Tyler Bertuzzi,73,21,26,47,11,36,18,0,3,4,23,0,3,131,16,1206,16:31,3.5,1.7,5.2,39,76,10,20,0.3333333333333333,2019
Thomas Vanek,64,16,20,36,-12,26,12,0,4,1,13,0,7,108,14.8,903,14:07,2.7,0.5,3.3,13,38,7,18,0.28,2019
Frans Nielsen,72,10,25,35,-7,14,10,0,0,4,16,1,8,120,8.3,1201,16:41,1.2,1.1,2.2,44,79,450,473,0.4875406283856988,2019
Niklas Kronwall,79,3,24,27,-5,40,2,0,1,0,17,0,7,71,4.2,1576,19:57,1.1,3.1,4.2,96,84,0,0,NA,2019
Mike Green,43,5,21,26,-1,28,5,0,0,0,18,0,3,92,5.4,932,21:41,2,2,3.9,56,60,0,0,NA,2019
Luke Glendening,78,10,13,23,2,15,9,1,0,1,11,2,0,102,9.8,1231,15:47,-0.1,1.4,1.3,102,198,658,524,0.55668358714044,2019
Filip Hronek,46,5,18,23,-10,30,4,0,1,0,13,1,4,73,6.8,918,19:58,1.7,1.2,2.9,32,66,0,0,NA,2019
Danny DeKeyser,52,5,15,20,2,39,5,0,0,3,15,0,0,59,8.5,1142,21:58,1.1,2.6,3.8,94,79,0,0,NA,2019
Justin Abdelkader,71,6,13,19,-14,38,4,1,1,0,12,0,1,95,6.3,1093,15:24,-0.5,0.7,0.1,34,185,52,51,0.5048543689320388,2019
Michael Rasmussen,62,8,10,18,-8,29,4,0,4,0,10,0,0,74,10.8,749,12:05,0.5,0.5,1,28,84,23,41,0.359375,2019
Darren Helm,61,7,10,17,-11,20,6,1,0,0,7,3,0,107,6.5,889,14:35,-0.1,0.6,0.5,26,50,16,20,0.4444444444444444,2019
Dennis Cholowski,52,7,9,16,-20,16,3,0,4,1,4,0,5,71,9.9,949,18:15,1.2,0.6,1.7,50,18,1,0,1,2019
Nick Jensen,60,2,13,15,1,17,2,0,0,0,12,1,0,66,3,1248,20:48,0.2,2.8,3,79,61,0,0,NA,2019
Jacob de La Rose,60,3,6,9,-13,16,3,0,0,0,6,0,0,55,5.5,686,11:26,-0.7,0.3,-0.4,29,72,161,219,0.4236842105263158,2019
Christoffer Ehn,60,3,6,9,-5,6,2,1,0,1,6,0,0,49,6.1,637,10:37,-0.6,0.5,-0.1,39,70,84,93,0.4745762711864407,2019
Trevor Daley,44,2,6,8,-3,12,1,1,0,1,6,0,0,47,4.3,817,18:34,0,1.6,1.6,53,14,0,0,NA,2019
Taro Hirose,10,1,6,7,0,2,1,0,0,1,5,0,1,15,6.7,153,15:18,0.4,0.2,0.5,9,1,1,0,1,2019
Martin Frk,30,1,5,6,-9,4,0,0,1,0,5,0,0,28,3.6,276,9:11,-0.1,0,-0.1,4,35,0,0,NA,2019
Jonathan Ericsson,52,3,2,5,-10,35,3,0,0,1,2,0,0,48,6.3,895,17:13,-0.3,1.2,0.9,56,98,0,0,NA,2019
Madison Bowey,17,1,3,4,-4,8,1,0,0,0,3,0,0,14,7.1,309,18:12,0.1,0.4,0.5,22,25,0,0,NA,2019
Filip Zadina,9,1,2,3,-5,0,0,0,1,0,1,0,1,18,5.6,138,15:23,0,0,0,3,6,3,3,0.5,2019
Luke Witkowski,34,0,2,2,-5,23,0,0,0,0,2,0,0,14,0,326,9:36,-0.2,0.3,0.1,27,67,0,0,NA,2019
Matt Puempel,8,1,0,1,-2,2,0,0,1,0,0,0,0,10,10,83,10:24,0,0,0,5,4,0,2,0,2019
Jimmy Howard,55,0,1,1,0,2,0,0,0,0,1,0,0,0,NA,3053,55:30,0,0,9.3,0,0,0,0,NA,2019
Brian Lashoff,4,0,1,1,-1,2,0,0,0,0,1,0,0,2,0,55,13:40,0,0,0.1,4,3,0,0,NA,2019
Wade Megan,11,0,1,1,-4,2,0,0,0,0,1,0,0,16,0,87,7:53,-0.1,-0.1,-0.2,4,4,28,23,0.5490196078431373,2019
Jonathan Bernier,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1860,53:08,0,0,5.1,0,0,0,0,NA,2019
Jake Chelios,5,0,0,0,0,2,0,0,0,0,0,0,0,5,0,86,17:12,-0.1,0.2,0.1,5,7,0,0,NA,2019
Kaden Fulcher,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,27,27:13,0,0,0,NA,0,NA,NA,NA,2019
Joe Hicketts,11,0,0,0,-9,0,0,0,0,0,0,0,0,16,0,204,18:35,-0.2,-0.2,-0.5,27,17,0,0,NA,2019
Ryan Kuffner,10,0,0,0,-4,0,0,0,0,0,0,0,0,8,0,109,10:56,-0.3,0,-0.3,5,4,0,2,0,2019
Dylan McIlrath,7,0,0,0,2,4,0,0,0,0,0,0,0,6,0,106,15:11,-0.1,0.4,0.3,7,19,0,0,NA,2019
Libor Sulak,6,0,0,0,-4,6,0,0,0,0,0,0,0,7,0,116,19:23,-0.1,0,-0.2,5,18,0,0,NA,2019
