Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,28.7,82,41,30,11,93,.567,209,219,-0.16,0.00,2.55,2.67,50,266,18.80,50,271,81.55,2,4,2432,8.6,2439,.910,99.7,6
League Average,28.0,82,41,32,9,91,.556,219,219,,,,,48,255,18.66,48,255,81.34,6,6,2438,9.0,2438,.910,,5
