Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,7,0.926,99.5,1979,2391,45.3,102.3,118.3,85,108,-7,575,554,50.9,143,128,52.8,23,13.9,19,12.9
League Average,7.8,0.922,NA,2320,2320,NA,113.6,113.5,108,108,NA,632,632,NA,166,166,NA,24,12.5,24,12.4
