Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Henrik Zetterberg,82,22,47,69,14,47,19,0,3,4,34,2,11,267,8.2,1627,19:50,5.5,2.1,7.6,26,45,548,567,0.4914798206278027,2012
Pavel Datsyuk,70,19,48,67,21,14,15,0,4,5,29,0,19,164,11.6,1370,19:34,5.7,2.2,7.9,31,76,702,547,0.5620496397117695,2012
Valtteri Filppula,81,23,43,66,18,14,19,1,3,1,35,0,8,144,16,1479,18:16,5.7,2.2,7.9,23,42,193,180,0.517426273458445,2012
Johan Franzén,77,29,27,56,23,40,18,0,11,10,25,0,2,211,13.7,1363,17:42,5.6,2.3,7.9,30,60,79,100,0.441340782122905,2012
Jiri Hudler,81,25,25,50,10,42,23,0,2,2,17,0,8,127,19.7,1269,15:40,4.7,1.6,6.4,15,48,2,5,0.2857142857142857,2012
Todd Bertuzzi,71,14,24,38,23,64,14,0,0,1,20,0,4,118,11.9,1104,15:33,2.6,2,4.7,23,96,5,8,0.38461538461538464,2012
Niklas Kronwall,82,15,21,36,-2,38,8,0,7,4,13,1,7,141,10.6,1875,22:52,3.5,3.3,6.7,177,133,0,0,NA,2012
Nicklas Lidström,70,11,23,34,21,28,7,0,4,0,10,0,13,148,7.4,1664,23:46,3,4.9,7.9,79,41,0,0,NA,2012
Dan Cleary,75,12,21,33,2,30,10,0,2,0,20,0,1,199,6,1199,15:59,1.6,1.2,2.8,33,90,21,30,0.4117647058823529,2012
Ian White,77,7,25,32,23,22,7,0,0,0,15,0,10,196,3.6,1770,22:59,2.2,5.2,7.5,92,49,0,0,NA,2012
Darren Helm,68,9,17,26,5,12,9,0,0,2,17,0,0,124,7.3,987,14:31,1.1,1.1,2.2,27,97,403,374,0.5186615186615187,2012
Drew Miller,80,14,11,25,6,20,14,0,0,4,11,0,0,131,10.7,1030,12:52,1.4,1.2,2.6,66,79,5,20,0.2,2012
Tomas Holmström,74,11,13,24,-9,40,1,0,10,3,8,0,5,97,11.3,879,11:52,1.4,0.4,1.8,6,56,1,0,1,2012
Justin Abdelkader,81,8,14,22,4,62,8,0,0,1,14,0,0,121,6.6,997,12:19,0.5,1.1,1.6,42,148,239,213,0.5287610619469026,2012
Brad Stuart,81,6,15,21,16,29,4,1,1,2,15,0,0,96,6.3,1705,21:03,1,4.5,5.5,115,177,0,0,NA,2012
Jakub Kindl,55,1,12,13,7,25,1,0,0,0,11,0,1,69,1.4,773,14:03,0.6,2,2.7,32,61,0,0,NA,2012
Jonathan Ericsson,69,1,10,11,16,47,1,0,0,0,10,0,0,63,1.6,1179,17:05,-0.1,3.5,3.5,43,128,0,0,NA,2012
Cory Emmerton,71,6,4,10,1,14,6,0,0,0,3,0,1,63,9.5,575,8:06,0.1,0.6,0.7,31,37,151,162,0.48242811501597443,2012
Gustav Nyquist,18,1,6,7,2,2,1,0,0,0,6,0,0,19,5.3,191,10:36,0.3,0.3,0.6,0,4,0,0,NA,2012
Brendan Smith,14,1,6,7,3,13,1,0,0,0,5,0,1,13,7.7,219,15:38,0.6,0.7,1.3,8,17,0,0,NA,2012
Kyle Quincey,18,2,1,3,0,29,1,0,1,0,1,0,0,37,5.4,367,20:22,0.1,0.7,0.8,24,33,0,0,NA,2012
Chris Conner,8,1,2,3,2,0,1,0,0,0,2,0,0,10,10,85,10:34,0.2,0.2,0.4,3,4,0,0,NA,2012
Jan Mursak ,25,1,2,3,2,0,1,0,0,0,2,0,0,22,4.5,189,7:33,-0.1,0.3,0.2,11,21,1,2,0.3333333333333333,2012
Mike Commodore,17,0,2,2,3,21,0,0,0,0,2,0,0,16,0,195,11:30,0,0.6,0.6,19,32,0,0,NA,2012
Fabian Brunnstrom,5,0,1,1,-2,4,0,0,0,0,1,0,0,6,0,45,9:04,0,0,-0.1,1,4,0,0,NA,2012
Ty Conklin,15,0,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,805,53:38,0,0,0.9,0,0,0,0,NA,2012
Patrick Eaves,10,0,1,1,0,2,0,0,0,0,1,0,0,24,0,110,11:03,-0.2,0.1,-0.1,7,21,2,3,0.4,2012
Jimmy Howard,57,0,1,1,0,6,0,0,0,0,NA,NA,NA,0,NA,3360,58:57,0,0,10.3,0,0,0,0,NA,2012
Doug Janik,9,0,1,1,2,6,0,0,0,0,1,0,0,6,0,131,14:30,0,0.4,0.4,6,7,0,0,NA,2012
Joakim Andersson,5,0,0,0,1,0,0,0,0,0,0,0,0,3,0,33,6:40,-0.1,0.1,0,1,5,5,1,0.8333333333333334,2012
Joey MacDonald,14,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,806,57:32,0,0,1.9,0,0,0,0,NA,2012
Riley Sheahan,1,0,0,0,0,4,0,0,0,0,0,0,0,3,0,6,6:03,0,0,0,1,1,0,0,NA,2012
