Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,20,6-2,213,L/-,NA,"February 25, 1987"
24,Chris Chelios,D,46,6-0,191,R/-,23,"January 25, 1962"
11,Dan Cleary,RW,29,6-1,205,L/-,9,"December 18, 1978"
13,Pavel Datsyuk,C,29,5-11,194,L/-,5,"July 20, 1978"
20,Aaron Downey,RW,33,6-1,215,R/-,7,"August 27, 1974"
17,Dallas Drake,RW,38,6-1,186,L/-,14,"February 4, 1969"
33,Kris Draper,C,36,5-10,188,L/-,16,"May 24, 1971"
8,Matt Ellis,LW,26,6-0,208,L/-,1,"August 31, 1981"
52,Jonathan Ericsson,D,23,6-4,218,L/-,NA,"March 2, 1984"
51,Valtteri Filppula,C,23,6-0,189,L/-,2,"March 20, 1984"
93,Johan Franzén,C,28,6-4,232,L/-,2,"December 23, 1979"
44,Mark Hartigan,C,30,6-0,196,L/-,5,"October 15, 1977"
39,Dominik Hasek,G,43,6-1,166,-/L,15,"January 29, 1965"
43,Darren Helm,C,21,6-0,192,L/-,NA,"January 21, 1987"
96,Tomas Holmström,RW,35,6-0,198,L/-,10,"January 23, 1973"
35,Jimmy Howard,G,23,6-1,218,-/L,1,"March 26, 1984"
26,Jiri Hudler,RW,24,5-10,190,L/-,3,"January 4, 1984"
82,Tomas Kopecky,RW,25,6-3,210,L/-,2,"February 5, 1982"
55,Niklas Kronwall,D,27,6-0,194,L/-,3,"January 12, 1981"
22,Brett Lebda,D,26,5-9,195,L/-,2,"January 15, 1982"
5,Nicklas Lidström,D,37,6-1,192,L/-,15,"April 28, 1970"
3,Andreas Lilja,D,32,6-3,220,L/-,6,"July 13, 1975"
18,Kirk Maltby,LW,35,6-0,195,R/-,13,"December 22, 1972"
25,Darren McCarty,RW,35,6-1,210,R/-,13,"April 1, 1972"
14,Derek Meech,D,23,5-11,200,L/-,1,"April 21, 1984"
30,Chris Osgood,G,35,5-10,180,-/L,13,"November 26, 1972"
4,Kyle Quincey,D,22,6-2,210,L/-,2,"August 12, 1985"
28,Brian Rafalski,D,34,5-10,194,R/-,7,"September 28, 1973"
42,Mattias Ritola,C,20,6-0,192,L/-,NA,"March 14, 1987"
37,Mikael Samuelsson,RW,31,6-2,218,R/-,6,"December 23, 1976"
36,Garrett Stafford,D,28,6-1,207,R/-,NA,"January 28, 1980"
23,Brad Stuart,D,28,6-2,215,L/-,7,"November 6, 1979"
40,Henrik Zetterberg,LW,27,6-0,197,L/-,4,"October 9, 1980"
