Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,7.6,0.926,100.2,3325,3141,51.4,NA,NA,153,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
League Average,7.2,0.928,NA,3535,3535,NA,NA,NA,147,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
