Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,7,0.93,100,3409,2392,58.8,NA,NA,146,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
League Average,7.4,0.926,NA,3068,3068,NA,NA,NA,137,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
