Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,7.2,0.925,99.8,3505,3937,47.1,157.3,190,147,178,2,1532,1738,46.9,293,387,43.1,42,12.5,53,12
League Average,7.5,0.925,NA,3783,3783,NA,173,173,165,165,NA,1621,1621,NA,350,350,NA,54,13.4,54,13.4
