Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,21,6-2,213,L/-,1,"February 25, 1987"
24,Chris Chelios,D,47,6-0,191,R/-,24,"January 25, 1962"
11,Dan Cleary,RW,30,6-1,205,L/-,10,"December 18, 1978"
29,Ty Conklin,G,32,6-1,185,-/L,5,"March 30, 1976"
13,Pavel Datsyuk,C,30,5-11,194,L/-,6,"July 20, 1978"
44,Aaron Downey,RW,34,6-1,215,R/-,8,"August 27, 1974"
33,Kris Draper,C,37,5-10,188,L/-,17,"May 24, 1971"
52,Jonathan Ericsson,D,24,6-4,218,L/-,1,"March 2, 1984"
51,Valtteri Filppula,C,24,6-0,189,L/-,3,"March 20, 1984"
93,Johan Franzén,RW,29,6-4,232,L/-,3,"December 23, 1979"
43,Darren Helm,C,22,6-0,192,L/-,1,"January 21, 1987"
96,Tomas Holmström,RW,36,6-0,198,L/-,11,"January 23, 1973"
81,Marián Hossa,RW,30,6-1,207,L/-,10,"January 12, 1979"
35,Jimmy Howard,G,24,6-1,218,-/L,2,"March 26, 1984"
26,Jiri Hudler,RW,25,5-10,190,L/-,4,"January 4, 1984"
82,Tomas Kopecky,RW,26,6-3,210,L/-,3,"February 5, 1982"
55,Niklas Kronwall,D,28,6-0,194,L/-,4,"January 12, 1981"
22,Brett Lebda,D,27,5-9,195,L/-,3,"January 15, 1982"
21,Ville Leino,LW,25,6-1,190,L/-,NA,"October 6, 1983"
5,Nicklas Lidström,D,38,6-1,192,L/-,16,"April 28, 1970"
3,Andreas Lilja,D,33,6-3,220,L/-,7,"July 13, 1975"
18,Kirk Maltby,LW,36,6-0,195,R/-,14,"December 22, 1972"
25,Darren McCarty,RW,36,6-1,210,R/-,14,"April 1, 1972"
14,Derek Meech,D,24,5-11,200,L/-,2,"April 21, 1984"
30,Chris Osgood,G,36,5-10,180,-/L,14,"November 26, 1972"
28,Brian Rafalski,D,35,5-10,194,R/-,8,"September 28, 1973"
37,Mikael Samuelsson,RW,32,6-2,218,R/-,7,"December 23, 1976"
23,Brad Stuart,D,29,6-2,215,L/-,8,"November 6, 1979"
40,Henrik Zetterberg,C,28,6-0,197,L/-,5,"October 9, 1980"
