Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,32.1,82,54,21,7,115,.701,252,179,0.93,0.04,3.07,2.18,81,391,20.72,57,357,84.03,5,7,2820,8.9,1930,.907,100.0,9
League Average,28.2,82,41,32,9,91,.555,223,223,,,,,62,351,17.75,62,351,82.25,8,8,2383,9.4,2383,.906,,5
