Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,5.9,0.913,97.2,2653,3136,45.8,124.6,152.6,93,168,-47,1236,1504,45.1,354,470,43,44,11.1,81,14.7
League Average,7.6,0.924,NA,3100,3100,NA,143,143,140,140,NA,1447,1447,NA,443,443,NA,61,12.2,61,12.2
