Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,30.0,82,48,28,6,102,.622,239,200,0.55,0.00,2.91,2.44,48,298,16.11,50,274,81.75,2,11,2638,9.1,2212,.910,101.2,7
League Average,27.7,82,41,31,10,92,.561,218,218,,,,,47,271,17.31,47,271,82.69,6,6,2439,8.9,2439,.911,,6
