Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,30,6-2,213,L/-,10,"February 25, 1987"
72,Andreas Athanasiou,C,23,6-2,190,L/-,2,"August 6, 1994"
59,Tyler Bertuzzi,LW,22,6-1,199,L/-,1,"February 24, 1995"
17,David Booth,LW,33,6-0,212,L/-,9,"November 24, 1984"
31,Jared Coreau,G,26,6-5,214,-/-,1,"November 5, 1991"
83,Trevor Daley,D,34,5-11,199,L/-,13,"October 9, 1983"
65,Danny DeKeyser,D,27,6-3,190,L/-,5,"March 7, 1990"
52,Jonathan Ericsson,D,33,6-4,218,L/-,10,"March 2, 1984"
42,Martin Frk,RW,24,6-1,205,R/-,1,"October 5, 1993"
41,Luke Glendening,C,28,5-11,190,R/-,4,"April 28, 1989"
25,Mike Green,D,32,6-1,210,R/-,12,"October 12, 1985"
43,Darren Helm,C/LW,31,6-0,192,L/-,10,"January 21, 1987"
2,Joe Hicketts,D,21,5-8,180,L/-,NA,"May 4, 1996"
35,Jimmy Howard,G,33,6-1,218,-/L,11,"March 26, 1984"
3,Nick Jensen,D,27,6-1,205,R/-,1,"September 21, 1990"
55,Niklas Kronwall,D,37,6-0,194,L/-,13,"January 12, 1981"
71,Dylan Larkin,C,21,6-1,198,L/-,2,"July 30, 1996"
23,Brian Lashoff,D,27,6-3,213,L/-,4,"July 16, 1990"
39,Anthony Mantha,RW,23,6-5,234,L/-,2,"September 16, 1994"
34,Petr Mrazek,G,25,6-1,190,-/L,5,"February 14, 1992"
51,Frans Nielsen,C,33,6-1,186,L/-,11,"April 24, 1984"
14,Gustav Nyquist,RW,28,5-11,180,L/-,6,"September 1, 1989"
61,Xavier Ouellet,D,24,6-1,193,L/-,4,"July 29, 1993"
15,Riley Sheahan,C,26,6-4,204,L/-,6,"December 7, 1991"
77,Evgeny Svechnikov,LW,21,6-3,207,L/-,1,"October 31, 1996"
21,Tomas Tatar,C,27,5-10,173,L/-,6,"December 1, 1990"
NA,Dominic Turgeon,C,21,6-2,199,L/-,NA,"February 25, 1996"
23,Scott Wilson,C/LW,25,5-11,177,L/-,3,"April 24, 1992"
28,Luke Witkowski,D,27,6-2,215,R/-,3,"April 14, 1990"
40,Henrik Zetterberg,LW,37,6-0,197,L/-,14,"October 9, 1980"
