Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,6.3,0.939,100.2,2071,1790,53.6,NA,NA,75,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
League Average,7.4,0.926,NA,2054,2054,NA,NA,NA,86,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
