Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Dylan Larkin,82,16,47,63,-9,61,13,2,1,4,39,1,7,232,6.9,1627,19:51,3.5,1.6,5.2,42,76,656,658,0.4992389649923896,2018
Henrik Zetterberg,82,11,45,56,1,14,10,0,1,2,28,0,17,180,6.1,1599,19:30,2.4,2,4.4,34,49,666,709,0.4843636363636364,2018
Anthony Mantha,80,24,24,48,-1,52,15,0,9,2,21,0,3,190,12.6,1384,17:18,3.5,1.7,5.2,36,91,17,35,0.3269230769230769,2018
Gustav Nyquist,82,21,19,40,-2,20,18,0,3,2,14,0,5,213,9.9,1464,17:51,2.2,1.7,3.9,36,65,6,7,0.46153846153846156,2018
Justin Abdelkader,75,13,22,35,-11,78,9,0,4,0,17,0,5,110,11.8,1241,16:33,1.4,1.1,2.5,40,174,47,50,0.4845360824742268,2018
Andreas Athanasiou,71,16,17,33,-15,16,15,0,1,2,15,0,2,170,9.4,1087,15:19,2,0.8,2.7,28,24,106,149,0.41568627450980394,2018
Frans Nielsen,79,16,17,33,1,14,10,2,4,3,13,1,3,134,11.9,1250,15:50,1.5,1.6,3.1,62,49,483,558,0.46397694524495675,2018
Mike Green,66,8,25,33,-14,38,7,0,1,0,13,0,12,132,6.1,1457,22:05,2.4,2.4,4.7,74,78,0,0,NA,2018
Darren Helm,75,13,18,31,3,39,11,2,0,0,16,2,0,141,9.2,1167,15:34,1.2,1.6,2.8,36,131,45,57,0.4411764705882353,2018
Tomas Tatar,62,16,12,28,-8,24,8,0,8,3,9,0,3,140,11.4,1038,16:44,1.6,1,2.6,24,45,1,8,0.1111111111111111,2018
Niklas Kronwall,79,4,23,27,-14,36,2,0,2,0,10,0,13,76,5.3,1463,18:31,1.4,2.4,3.7,107,82,0,0,NA,2018
Martin Frk,68,11,14,25,-14,14,6,0,5,0,10,0,4,99,11.1,700,10:17,1.7,0.3,2,10,77,0,2,0,2018
Tyler Bertuzzi,48,7,17,24,-7,39,6,0,1,1,16,0,1,83,8.4,691,14:24,1.2,0.6,1.8,38,53,1,7,0.125,2018
Luke Glendening,69,11,8,19,-14,17,8,2,1,2,7,1,0,88,12.5,911,13:12,0.5,0.6,1.1,83,137,394,285,0.5802650957290133,2018
Trevor Daley,77,9,7,16,-5,36,8,1,0,4,5,2,0,103,8.7,1594,20:42,0.6,3.4,4,125,24,0,0,NA,2018
Nick Jensen,81,0,15,15,-8,27,0,0,0,0,14,0,1,107,0,1317,16:15,-0.1,2.5,2.4,88,71,0,0,NA,2018
Jonathan Ericsson,81,3,10,13,-7,47,3,0,0,0,9,1,0,86,3.5,1564,19:19,-0.3,3.2,2.8,84,133,1,0,1,2018
Danny DeKeyser,65,6,6,12,2,28,6,0,0,0,6,0,0,65,9.2,1321,20:19,0.2,3.3,3.5,125,76,0,0,NA,2018
Xavier Ouellet,45,0,7,7,-3,6,0,0,0,0,7,0,0,57,0,624,13:51,-0.1,1.2,1.2,43,36,0,0,NA,2018
David Booth,28,4,1,5,-5,10,4,0,0,0,0,0,1,33,12.1,195,6:58,0.4,0,0.4,7,23,4,6,0.4,2018
Evgeny Svechnikov,14,2,2,4,-2,8,2,0,0,0,2,0,0,15,13.3,123,8:49,0.3,0.1,0.3,6,15,1,4,0.2,2018
Luke Witkowski,31,1,3,4,-1,68,1,0,0,0,3,0,0,16,6.3,213,6:53,0.2,0.4,0.7,11,57,1,1,0.5,2018
Joe Hicketts,5,0,3,3,5,2,0,0,0,0,2,0,1,2,0,87,17:21,0.2,0.6,0.8,12,9,0,0,NA,2018
Jimmy Howard,60,0,1,1,0,10,0,0,0,0,0,1,0,0,NA,3368,56:08,0,0,9.4,0,0,0,0,NA,2018
Jared Coreau,7,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,380,54:21,0,0,0.1,0,0,0,0,NA,2018
Brian Lashoff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,4:02,0,0,0,NA,0,NA,NA,NA,2018
Petr Mrazek,22,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1184,53:48,0,0,3.3,0,0,0,0,NA,2018
Riley Sheahan,8,0,0,0,0,4,0,0,0,0,0,0,0,5,0,72,9:03,-0.2,0.1,-0.1,4,6,8,11,0.42105263157894735,2018
Dominic Turgeon,5,0,0,0,-2,2,0,0,0,0,0,0,0,3,0,46,9:14,-0.1,0,-0.2,8,3,7,14,0.3333333333333333,2018
Scott Wilson,17,0,0,0,-1,0,0,0,0,0,0,0,0,10,0,127,7:28,-0.4,0.1,-0.2,5,22,3,1,0.75,2018
