Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,25,6-2,213,L/-,5,"February 25, 1987"
63,Joakim Andersson,C,23,6-2,211,L/-,1,"February 5, 1989"
44,Todd Bertuzzi,RW,37,6-3,229,L/-,16,"February 2, 1975"
24,Damien Brunner,C,26,5-11,185,R/-,NA,"March 9, 1986"
11,Dan Cleary,LW,34,6-1,205,L/-,14,"December 18, 1978"
28,Carlo Colaiacovo,D,30,6-1,202,L/-,9,"January 27, 1983"
13,Pavel Datsyuk,C,34,5-11,194,L/-,10,"July 20, 1978"
65,Danny DeKeyser,D,22,6-3,190,L/-,NA,"March 7, 1990"
17,Patrick Eaves,RW,28,5-11,203,R/-,7,"May 1, 1984"
25,Cory Emmerton,C,24,6-0,191,L/-,2,"June 1, 1988"
52,Jonathan Ericsson,D,28,6-4,218,L/-,5,"March 2, 1984"
51,Valtteri Filppula,C,28,6-0,189,L/-,7,"March 20, 1984"
93,Johan Franzén,C,33,6-4,232,L/-,7,"December 23, 1979"
50,Jonas Gustavsson,G,28,6-4,201,-/L,3,"October 24, 1984"
43,Darren Helm,C,26,6-0,192,L/-,5,"January 21, 1987"
35,Jimmy Howard,G,28,6-1,218,-/L,6,"March 26, 1984"
3,Kent Huskins,D,33,6-4,210,L/-,6,"May 4, 1979"
4,Jakub Kindl,D,25,6-3,199,L/-,3,"February 10, 1987"
55,Niklas Kronwall,D,32,6-0,194,L/-,8,"January 12, 1981"
23,Brian Lashoff,D,22,6-3,213,L/-,NA,"July 16, 1990"
20,Drew Miller,LW,28,6-2,183,L/-,5,"February 17, 1984"
34,Petr Mrazek,G,20,6-1,190,-/L,NA,"February 14, 1992"
39,Jan Mursak ,LW,25,5-11,190,R/-,2,"January 20, 1988"
14,Gustav Nyquist,LW,23,5-11,180,L/-,1,"September 1, 1989"
27,Kyle Quincey,D,27,6-2,210,L/-,7,"August 12, 1985"
37,Mikael Samuelsson,RW,36,6-2,218,R/-,11,"December 23, 1976"
15,Riley Sheahan,C,21,6-4,204,L/-,1,"December 7, 1991"
2,Brendan Smith,D,23,6-2,201,L/-,1,"February 8, 1989"
21,Tomas Tatar,C,22,5-10,173,L/-,1,"December 1, 1990"
22,Jordin Tootoo,RW,29,5-9,195,R/-,8,"February 2, 1983"
18,Ian White,D,28,5-10,191,R/-,7,"June 4, 1984"
40,Henrik Zetterberg,LW,32,6-0,197,L/-,9,"October 9, 1980"
