Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage
Pavel Datsyuk,47,15,34,49,21,14,7,0,8,6,23,3,8,107,14,949,20:11,4.5,2.1,6.5,30,31,488,399,0.5501691093573844
Henrik Zetterberg,46,11,37,48,2,18,5,2,4,5,18,0,19,173,6.4,944,20:31,3.9,1.2,5.2,10,20,263,281,0.4834558823529412
Johan Franzén,41,14,17,31,13,41,8,0,6,1,11,0,6,116,12.1,742,18:05,2.9,1.5,4.4,17,43,30,32,0.4838709677419355
Niklas Kronwall,48,5,24,29,-5,44,3,0,2,2,10,0,14,67,7.5,1169,24:22,2.4,2.4,4.8,83,42,0,0,NA
Damien Brunner,44,12,14,26,-6,12,9,0,3,1,7,0,7,123,9.8,686,15:35,2.3,0.6,2.9,2,20,2,3,0.4
Valtteri Filppula,41,9,8,17,-4,6,6,0,3,0,8,0,0,78,11.5,729,17:47,0.8,0.7,1.6,12,16,179,144,0.5541795665634675
Dan Cleary,48,9,6,15,-6,40,3,1,5,0,6,0,0,93,9.7,789,16:27,0.5,0.7,1.2,21,56,11,12,0.4782608695652174
Justin Abdelkader,48,10,3,13,6,34,10,0,0,0,3,0,0,96,10.4,711,14:49,0.6,1.1,1.7,13,120,65,60,0.52
Jakub Kindl,41,4,9,13,15,28,3,0,1,2,7,0,2,76,5.3,761,18:33,1,3.1,4.1,33,46,0,0,NA
Jonathan Ericsson,45,3,10,13,6,29,3,0,0,1,10,0,0,34,8.8,960,21:19,0.6,2.8,3.5,40,67,0,0,NA
Cory Emmerton,48,5,3,8,-1,4,5,0,0,0,2,0,1,55,9.1,519,10:49,0,0.6,0.6,26,28,187,226,0.45278450363196127
Drew Miller,44,4,4,8,-8,2,3,0,1,2,4,0,0,54,7.4,608,13:49,-0.4,0.4,0,41,81,1,3,0.25
Joakim Andersson,38,3,5,8,2,8,3,0,0,0,4,0,1,43,7,459,12:05,-0.1,0.6,0.6,12,17,144,166,0.4645161290322581
Jordin Tootoo,42,3,5,8,0,78,3,0,0,1,4,0,1,45,6.7,381,9:05,0.2,0.5,0.6,7,68,0,0,NA
Patrick Eaves,34,2,6,8,-1,4,2,0,0,1,5,0,1,42,4.8,360,10:35,0.1,0.4,0.5,11,40,7,4,0.6363636363636364
Brendan Smith,34,0,8,8,1,36,0,0,0,0,6,0,2,33,0,626,18:24,0.1,1.6,1.7,35,20,0,0,NA
Tomas Tatar,18,4,3,7,2,4,3,0,1,0,3,0,0,32,12.5,205,11:22,0.7,0.3,1,5,9,1,0,1
Gustav Nyquist,22,3,3,6,0,6,3,0,0,0,1,0,2,46,6.5,287,13:02,0.2,0.4,0.5,3,2,1,3,0.25
Brian Lashoff,31,1,4,5,-10,15,1,0,0,0,4,0,0,26,3.8,551,17:47,0,0.5,0.5,43,44,0,0,NA
Ian White,25,2,2,4,5,4,2,0,0,0,2,0,0,27,7.4,490,19:35,0.1,1.6,1.7,32,14,1,0,1
Todd Bertuzzi,7,2,1,3,3,2,2,0,0,0,1,0,0,10,20,109,15:31,0.3,0.3,0.5,1,6,0,0,NA
Kyle Quincey,36,1,2,3,7,18,1,0,0,0,1,0,1,36,2.8,692,19:13,-0.4,2.3,1.9,46,29,0,0,NA
Carlo Colaiacovo,6,0,1,1,-4,2,0,0,0,0,0,0,1,12,0,113,18:55,0,-0.1,-0.1,10,12,0,0,NA
Danny DeKeyser,11,0,1,1,4,2,0,0,0,0,1,0,0,15,0,199,18:03,-0.1,0.8,0.7,9,9,0,0,NA
Jonas Gustavsson,7,0,1,1,0,2,0,0,0,0,NA,NA,NA,0,NA,349,49:54,0,0,0.3,0,0,0,0,NA
Jimmy Howard,42,0,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA,2446,58:14,0,0,8.4,0,0,0,0,NA
Mikael Samuelsson,4,0,1,1,-3,0,0,0,0,0,1,0,0,4,0,51,12:52,0,-0.1,-0.1,1,6,0,0,NA
Darren Helm,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,12,12:27,0,0,0,0,4,6,8,0.42857142857142855
Kent Huskins,11,0,0,0,-3,4,0,0,0,0,0,0,0,2,0,169,15:21,-0.2,0.2,-0.1,17,15,0,0,NA
Petr Mrazek,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,119,59:35,0,0,0.4,NA,0,NA,NA,NA
Jan Mursak ,2,0,0,0,0,4,0,0,0,0,0,0,0,0,NA,11,5:39,0,0,0,0,0,1,1,0.5
Riley Sheahan,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,6:47,0,0,0,0,0,0,1,0
