Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,28,6-2,213,L/-,8,"February 25, 1987"
18,Joakim Andersson,C,26,6-2,211,L/-,4,"February 5, 1989"
72,Andreas Athanasiou,C,21,6-2,190,L/-,NA,"August 6, 1994"
13,Pavel Datsyuk,C,37,5-11,194,L/-,13,"July 20, 1978"
65,Danny DeKeyser,D,25,6-3,190,L/-,3,"March 7, 1990"
52,Jonathan Ericsson,D,31,6-4,218,L/-,8,"March 2, 1984"
29,Landon Ferraro,C,24,6-0,176,R/-,2,"August 8, 1991"
93,Johan Franzén,RW,36,6-4,232,L/-,10,"December 23, 1979"
41,Luke Glendening,C,26,5-11,190,R/-,2,"April 28, 1989"
25,Mike Green,D,30,6-1,210,R/-,10,"October 12, 1985"
43,Darren Helm,C,29,6-0,192,L/-,8,"January 21, 1987"
35,Jimmy Howard,G,31,6-1,218,-/L,9,"March 26, 1984"
26,Tomas Jurco,RW,23,6-1,188,L/-,2,"December 28, 1992"
4,Jakub Kindl,D,28,6-3,199,L/-,6,"February 10, 1987"
55,Niklas Kronwall,D,35,6-0,194,L/-,11,"January 12, 1981"
71,Dylan Larkin,C,19,6-1,198,L/-,NA,"July 30, 1996"
39,Anthony Mantha,RW,21,6-5,234,L/-,NA,"September 16, 1994"
47,Alexey Marchenko,D,24,6-3,210,R/-,2,"January 2, 1992"
20,Drew Miller,LW,31,6-2,183,L/-,8,"February 17, 1984"
34,Petr Mrazek,G,23,6-1,190,-/L,3,"February 14, 1992"
83,Tomas Nosek,C,23,6-2,205,L/-,NA,"September 1, 1992"
14,Gustav Nyquist,RW,26,5-11,180,L/-,4,"September 1, 1989"
61,Xavier Ouellet,D,22,6-1,193,L/-,2,"July 29, 1993"
56,Teemu Pulkkinen,LW,24,5-10,185,R/-,2,"January 2, 1992"
27,Kyle Quincey,D,30,6-2,210,L/-,10,"August 12, 1985"
17,Brad Richards,C,35,6-0,199,L/-,14,"May 2, 1980"
15,Riley Sheahan,C,24,6-4,204,L/-,4,"December 7, 1991"
2,Brendan Smith,D,26,6-2,201,L/-,4,"February 8, 1989"
49,Eric Tangradi,LW,26,6-4,226,L/-,6,"February 10, 1989"
21,Tomas Tatar,LW,25,5-10,173,L/-,4,"December 1, 1990"
40,Henrik Zetterberg,LW,35,6-0,197,L/-,12,"October 9, 1980"
