Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
45,Jonathan Bernier,G,32,6-0,185,-/L,12,"August 7, 1988"
59,Tyler Bertuzzi,LW,25,6-1,199,L/-,4,"February 24, 1995"
3,Alex Biega,D,32,5-10,199,R/-,6,"April 4, 1988"
86,Mathias Brome,F,26,6-0,183,L/-,NA,"July 29, 1994"
21,Dennis Cholowski,D,22,6-2,197,L/-,2,"February 15, 1998"
65,Danny DeKeyser,D,30,6-3,190,L/-,8,"March 7, 1990"
44,Christian Djoos,D,26,6-0,169,L/-,3,"August 6, 1994"
73,Adam Erne,LW,25,6-1,212,L/-,4,"April 20, 1995"
14,Robby Fabbri,C,25,5-10,190,L/-,4,"January 22, 1996"
51,Valtteri Filppula,C,36,6-0,189,L/-,15,"March 20, 1984"
89,Sam Gagner,C,31,5-11,200,R/-,13,"August 10, 1989"
41,Luke Glendening,C,31,5-11,190,R/-,7,"April 28, 1989"
29,Thomas Greiss,G,35,6-2,232,-/L,11,"January 29, 1986"
43,Darren Helm,C/LW,34,6-0,192,L/-,13,"January 21, 1987"
67,Taro Hirose,LW,24,5-10,162,L/-,2,"June 30, 1996"
17,Filip Hronek,D,23,6-0,183,R/-,2,"November 2, 1997"
71,Dylan Larkin,C,24,6-1,198,L/-,5,"July 30, 1996"
28,Gustav Lindstrom,D,22,6-2,190,R/-,1,"October 20, 1998"
39,Anthony Mantha,RW,26,6-5,234,L/-,5,"September 16, 1994"
24,Jonathon Merrill,D,28,6-3,196,L/-,7,"February 3, 1992"
92,Vladislav Namestnikov,C,28,6-0,184,L/-,7,"November 22, 1992"
22,Patrik Nemeth,D,28,6-3,228,L/-,7,"February 8, 1992"
81,Frans Nielsen,C,36,6-1,186,L/-,14,"April 24, 1984"
24,Richard Panik,RW,29,6-2,210,L/-,8,"February 7, 1991"
31,Calvin Pickard,G,28,6-1,210,-/-,6,"April 15, 1992"
27,Michael Rasmussen,C,21,6-6,229,L/-,1,"April 17, 1999"
54,Bobby Ryan,LW,33,6-2,209,R/-,13,"March 17, 1987"
48,Givani Smith,RW,22,6-2,210,L/-,1,"February 28, 1998"
18,Marc Staal,D,34,6-4,213,L/-,13,"January 13, 1987"
70,Troy Stecher,D,26,5-10,186,R/-,4,"April 7, 1994"
37,Evgeny Svechnikov,LW,24,6-3,207,L/-,3,"October 31, 1996"
90,Joe Veleno,C,21,6-1,198,L/-,NA,"January 13, 2000"
15,Jakub Vrana,LW,24,6-0,195,L/-,4,"February 28, 1996"
11,Filip Zadina,RW,21,6-0,189,L/-,2,"November 27, 1999"
