Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,32,6-2,213,L/-,12,"February 25, 1987"
72,Andreas Athanasiou,C,25,6-2,190,L/-,4,"August 6, 1994"
45,Jonathan Bernier,G,31,6-0,185,-/L,11,"August 7, 1988"
59,Tyler Bertuzzi,LW,24,6-1,199,L/-,3,"February 24, 1995"
3,Alex Biega,D,31,5-10,199,R/-,5,"April 4, 1988"
74,Madison Bowey,D,24,6-2,202,R/-,2,"April 22, 1995"
21,Dennis Cholowski,D,21,6-2,197,L/-,1,"February 15, 1998"
34,Eric Comrie,G,24,6-1,180,-/-,3,"July 6, 1995"
83,Trevor Daley,D,36,5-11,199,L/-,15,"October 9, 1983"
61,Jacob de La Rose,LW,24,6-3,215,L/-,5,"May 20, 1995"
65,Danny DeKeyser,D,29,6-3,190,L/-,7,"March 7, 1990"
70,Christoffer Ehn,C,23,6-3,195,L/-,1,"April 4, 1996"
52,Jonathan Ericsson,D,35,6-4,218,L/-,12,"March 2, 1984"
73,Adam Erne,LW,24,6-1,212,L/-,3,"April 20, 1995"
14,Robby Fabbri,C,24,5-10,190,L/-,3,"January 22, 1996"
51,Valtteri Filppula,C,35,6-0,189,L/-,14,"March 20, 1984"
89,Sam Gagner,C,30,5-11,200,R/-,12,"August 10, 1989"
41,Luke Glendening,C,30,5-11,190,R/-,6,"April 28, 1989"
26,Cody Goloubef,D,30,6-1,190,R/-,7,"November 30, 1989"
25,Mike Green,D,34,6-1,210,R/-,14,"October 12, 1985"
43,Darren Helm,C/LW,33,6-0,192,L/-,12,"January 21, 1987"
2,Joe Hicketts,D,23,5-8,180,L/-,2,"May 4, 1996"
NA,Taro Hirose,LW,23,5-10,162,L/-,1,"June 30, 1996"
35,Jimmy Howard,G,35,6-1,218,-/L,13,"March 26, 1984"
17,Filip Hronek,D,22,6-0,183,R/-,1,"November 2, 1997"
71,Dylan Larkin,C,23,6-1,198,L/-,4,"July 30, 1996"
32,Brian Lashoff,D,29,6-3,213,L/-,6,"July 16, 1990"
28,Gustav Lindstrom,D,21,6-2,190,R/-,NA,"October 20, 1998"
39,Anthony Mantha,RW,25,6-5,234,L/-,4,"September 16, 1994"
20,Dylan McIlrath,D,27,6-4,235,R/-,5,"April 20, 1992"
22,Patrik Nemeth,D,27,6-3,228,L/-,6,"February 8, 1992"
81,Frans Nielsen,C,35,6-1,186,L/-,13,"April 24, 1984"
29,Brendan Perlini,LW,23,6-3,211,L/-,3,"April 27, 1996"
31,Calvin Pickard,G,27,6-1,210,-/-,5,"April 15, 1992"
48,Givani Smith,RW,21,6-2,210,L/-,NA,"February 28, 1998"
37,Evgeny Svechnikov,LW,23,6-3,207,L/-,2,"October 31, 1996"
15,Dmytro Timashov,LW,23,5-10,192,L/-,NA,"October 1, 1996"
11,Filip Zadina,RW,20,6-0,189,L/-,1,"November 27, 1999"
