Number,Name,Position,Age,Height,weight,Shoots,Experience,Birth_Date
8,Justin Abdelkader,LW,31,6-2,213,L/-,11,"February 25, 1987"
72,Andreas Athanasiou,C,24,6-2,190,L/-,3,"August 6, 1994"
45,Jonathan Bernier,G,30,6-0,185,-/L,10,"August 7, 1988"
59,Tyler Bertuzzi,LW,23,6-1,199,L/-,2,"February 24, 1995"
74,Madison Bowey,D,23,6-2,202,R/-,1,"April 22, 1995"
84,Jake Chelios,D,27,6-2,185,L/-,NA,"March 8, 1991"
21,Dennis Cholowski,D,20,6-2,197,L/-,NA,"February 15, 1998"
83,Trevor Daley,D,35,5-11,199,L/-,14,"October 9, 1983"
61,Jacob de La Rose,LW,23,6-3,215,L/-,4,"May 20, 1995"
65,Danny DeKeyser,D,28,6-3,190,L/-,6,"March 7, 1990"
70,Christoffer Ehn,C,22,6-3,195,L/-,NA,"April 4, 1996"
52,Jonathan Ericsson,D,34,6-4,218,L/-,11,"March 2, 1984"
42,Martin Frk,RW,25,6-1,205,R/-,2,"October 5, 1993"
36,Kaden Fulcher,G,20,6-3,201,-/-,NA,"September 23, 1998"
41,Luke Glendening,C,29,5-11,190,R/-,5,"April 28, 1989"
25,Mike Green,D,33,6-1,210,R/-,13,"October 12, 1985"
43,Darren Helm,C/LW,32,6-0,192,L/-,11,"January 21, 1987"
2,Joe Hicketts,D,22,5-8,180,L/-,1,"May 4, 1996"
53,Taro Hirose,LW,22,5-10,162,L/-,NA,"June 30, 1996"
35,Jimmy Howard,G,34,6-1,218,-/L,12,"March 26, 1984"
17,Filip Hronek,D,21,6-0,183,R/-,NA,"November 2, 1997"
3,Nick Jensen,D,28,6-1,205,R/-,2,"September 21, 1990"
55,Niklas Kronwall,D,38,6-0,194,L/-,14,"January 12, 1981"
56,Ryan Kuffner,LW,22,6-1,195,L/-,NA,"June 12, 1996"
71,Dylan Larkin,C,22,6-1,198,L/-,3,"July 30, 1996"
32,Brian Lashoff,D,28,6-3,213,L/-,5,"July 16, 1990"
39,Anthony Mantha,RW,24,6-5,234,L/-,3,"September 16, 1994"
20,Dylan McIlrath,D,26,6-4,235,R/-,4,"April 20, 1992"
22,Wade Megan,C,28,6-1,191,L/-,2,"July 22, 1990"
51,Frans Nielsen,C,34,6-1,186,L/-,12,"April 24, 1984"
14,Gustav Nyquist,RW,29,5-11,180,L/-,7,"September 1, 1989"
54,Matt Puempel,LW,26,6-1,205,L/-,3,"January 24, 1993"
27,Michael Rasmussen,C,19,6-6,229,L/-,NA,"April 17, 1999"
47,Libor Sulak,D,24,6-2,207,L/-,NA,"March 4, 1994"
23,Dominic Turgeon,C,22,6-2,199,L/-,1,"February 25, 1996"
26,Thomas Vanek,LW,35,6-2,214,R/-,13,"January 19, 1984"
28,Luke Witkowski,D,28,6-2,215,R/-,4,"April 14, 1990"
11,Filip Zadina,RW,19,6-0,189,L/-,NA,"November 27, 1999"
