Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,8,0.932,101.2,3669,3015,54.9,NA,NA,179,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
League Average,7.3,0.927,NA,3518,3518,NA,NA,NA,148,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
