Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage
Pavel Datsyuk,82,31,66,97,41,20,20,1,10,6,36,0,30,264,11.7,1753,21:23,8.8,3.7,12.6,42,40,452,380,0.5432692307692307
Henrik Zetterberg,75,43,49,92,30,34,26,1,16,7,29,0,20,358,12,1655,22:04,9.9,3.2,13,16,31,666,543,0.5508684863523573
Nicklas Lidström,76,10,60,70,40,40,5,0,5,4,30,1,29,188,5.3,2031,26:43,6.4,8.1,14.4,70,23,0,0,NA
Brian Rafalski,73,13,42,55,27,34,3,0,10,1,21,0,21,175,7.4,1757,24:04,5.4,6.4,11.7,70,38,0,0,NA
Dan Cleary,63,20,22,42,21,33,15,0,5,3,14,1,7,177,11.3,1095,17:23,3.6,2.1,5.7,14,82,56,54,0.509090909090909
Jiri Hudler,81,13,29,42,11,26,10,0,3,2,17,0,12,131,9.9,1067,13:10,2.9,1.7,4.6,8,25,10,16,0.38461538461538464
Tomas Holmström,59,20,20,40,9,58,9,0,11,5,13,0,7,137,14.6,1035,17:33,3.5,1.6,5.1,7,58,0,1,0
Mikael Samuelsson,73,11,29,40,21,26,8,0,3,1,21,0,8,249,4.4,1187,16:16,2.1,2.3,4.4,21,74,6,8,0.42857142857142855
Johan Franzén,72,27,11,38,12,51,13,0,14,8,8,1,2,199,13.6,1276,17:44,3.4,2,5.3,24,89,189,201,0.4846153846153846
Valtteri Filppula,78,19,17,36,16,28,16,0,3,3,12,0,5,122,15.6,1323,16:58,2.1,2.2,4.3,26,35,314,307,0.5056360708534622
Niklas Kronwall,65,7,28,35,25,44,7,0,0,0,20,0,8,108,6.5,1372,21:06,3,5.3,8.3,79,93,0,0,NA
Kris Draper,65,9,8,17,-2,68,7,2,0,2,8,0,0,97,9.3,1016,15:38,-0.1,1.1,1,25,90,553,391,0.5858050847457628
Brett Lebda,78,3,11,14,-1,48,3,0,0,1,8,0,3,110,2.7,1285,16:29,0.4,2.9,3.3,38,46,0,1,0
Tomas Kopecky,77,5,7,12,2,43,5,0,0,1,7,0,0,87,5.7,740,9:37,-0.3,0.9,0.6,17,111,44,65,0.4036697247706422
Chris Chelios,69,3,9,12,11,36,3,0,0,1,9,0,0,60,5,1170,16:58,0.3,3.6,3.9,46,56,0,0,NA
Andreas Lilja,79,2,10,12,-2,93,2,0,0,2,10,0,0,72,2.8,1440,18:14,-0.1,3.2,3.1,114,133,0,1,0
Kirk Maltby,61,6,4,10,-8,32,6,0,0,1,4,0,0,70,8.6,736,12:04,-0.4,0.5,0.1,17,92,3,4,0.42857142857142855
Dallas Drake,65,3,3,6,-12,41,2,1,0,0,3,0,0,46,6.5,696,10:42,-1,0.3,-0.7,25,92,29,41,0.4142857142857143
Matt Ellis,35,2,4,6,1,12,2,0,0,1,4,0,0,28,7.1,188,5:23,0.3,0.3,0.6,2,15,43,44,0.4942528735632184
Mark Hartigan,23,3,1,4,-2,16,3,0,0,0,1,0,0,19,15.8,165,7:09,0.3,0.1,0.4,0,25,60,54,0.5263157894736842
Aaron Downey,56,0,3,3,0,116,0,0,0,0,3,0,0,15,0,257,4:35,-0.4,0.3,-0.1,6,79,0,0,NA
Derek Meech,32,0,3,3,-5,6,0,0,0,0,0,0,3,44,0,388,12:08,-0.1,0.5,0.4,18,22,0,0,NA
Chris Osgood,43,0,3,3,0,0,0,0,0,0,NA,NA,NA,0,NA,2409,56:01,0,0,6.6,0,0,0,0,NA
Brad Stuart,9,1,1,2,6,2,1,0,0,0,1,0,0,21,4.8,187,20:46,0.1,0.9,1,13,30,0,0,NA
Jonathan Ericsson,8,1,0,1,-3,4,0,0,1,0,0,0,0,19,5.3,128,15:58,0.1,0,0.1,3,9,0,0,NA
Dominik Hasek,41,0,1,1,0,12,0,0,0,0,NA,NA,NA,0,NA,2350,57:19,0,0,4.5,0,0,0,0,NA
Darren McCarty,3,0,1,1,2,2,0,0,0,0,1,0,0,3,0,23,7:47,0,0.1,0.2,1,4,0,0,NA
Mattias Ritola,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,12,5:47,0.1,0,0.1,0,0,0,0,NA
Justin Abdelkader,2,0,0,0,0,2,0,0,0,0,0,0,0,6,0,24,12:13,-0.1,0,0,0,5,5,7,0.4166666666666667
Darren Helm,7,0,0,0,-2,2,0,0,0,0,0,0,0,7,0,49,7:00,-0.1,0,-0.2,0,3,5,18,0.21739130434782608
Jimmy Howard,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,197,49:16,0,0,0.8,0,0,0,0,NA
Kyle Quincey,6,0,0,0,-3,4,0,0,0,0,0,0,0,5,0,84,13:58,-0.1,-0.1,-0.2,7,12,0,0,NA
Garrett Stafford,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,6:45,0,0,0,0,1,0,0,NA
