Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,30.7,82,47,25,10,104,.634,257,237,0.27,0.03,3.13,2.89,67,301,22.26,53,300,82.33,5,7,2757,9.3,2514,.906,99.6,3
League Average,27.5,82,41,31,10,92,.560,224,224,,,,,52,291,18.02,52,291,81.98,7,7,2492,9.0,2492,.910,,6
