Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,7.3,0.923,99.6,3810,3351,53.2,NA,NA,165,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
League Average,7.2,0.928,NA,3520,3520,NA,NA,NA,147,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
