Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,30.2,82,30,39,13,73,.445,212,254,-0.48,-0.01,2.59,3.10,41,234,17.52,58,259,77.61,9,5,2490,8.5,2613,.903,99.5,4
League Average,28.0,82,41,31,10,92,.558,240,240,,,,,50,250,20.18,50,250,79.82,7,7,2620,9.2,2620,.908,,5
