Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,31.2,82,51,21,10,112,.683,289,240,0.62,0.00,3.52,2.93,90,353,25.50,71,327,78.29,6,4,2965,9.7,2274,.894,99.6,8
League Average,27.9,82,41,32,9,91,.557,234,234,,,,,65,341,18.95,65,341,81.05,8,8,2477,9.4,2477,.906,,5
