Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage
Henrik Zetterberg,80,24,56,80,-1,40,14,0,10,3,35,1,20,306,7.8,1567,19:35,6.8,1.4,8.2,19,38,516,468,0.524390243902439
Nicklas Lidström,82,16,46,62,-2,20,9,0,7,1,13,1,32,175,9.1,1924,23:28,6.2,3.3,9.5,92,49,0,0,NA
Pavel Datsyuk,56,23,36,59,11,15,16,1,6,5,24,0,12,137,16.8,1082,19:19,5.8,1.5,7.3,20,54,429,356,0.5464968152866242
Johan Franzén,76,28,27,55,5,58,18,0,10,5,20,0,7,248,11.3,1325,17:26,5.2,1.5,6.7,29,143,74,73,0.5034013605442177
Brian Rafalski,63,4,44,48,11,22,4,0,0,0,27,0,17,106,3.8,1287,20:25,4.1,3.2,7.4,54,49,0,0,NA
Dan Cleary,68,26,20,46,-1,20,21,0,5,8,17,0,3,192,13.5,1131,16:38,4.6,1,5.6,25,112,35,56,0.38461538461538464
Todd Bertuzzi,81,16,29,45,-7,71,14,0,2,2,24,0,5,138,11.6,1293,15:57,2.9,0.9,3.8,21,110,18,22,0.45
Valtteri Filppula,71,16,23,39,-1,22,12,0,4,5,19,0,4,115,13.9,1187,16:43,2.6,1.1,3.6,25,30,478,450,0.5150862068965517
Tomas Holmström,73,18,19,37,-6,62,8,0,10,1,9,0,10,125,14.4,1081,14:48,2.9,0.8,3.6,11,81,1,0,1
Niklas Kronwall,77,11,26,37,5,36,6,0,5,3,18,0,8,131,8.4,1761,22:52,3.2,3.6,6.7,129,113,0,0,NA
Jiri Hudler,73,10,27,37,-7,28,7,0,3,2,18,0,9,105,9.5,997,13:40,2.2,0.7,2.9,11,35,31,39,0.44285714285714284
Darren Helm,82,12,20,32,9,16,10,2,0,2,19,1,0,177,6.8,1091,13:18,1.6,1.4,3,30,128,493,445,0.5255863539445629
Patrick Eaves,63,13,7,20,-2,14,10,1,2,1,7,0,0,108,12,800,12:42,1.3,0.7,2,27,106,3,7,0.3
Brad Stuart,67,3,17,20,4,40,2,0,1,1,15,1,1,81,3.7,1442,21:32,0.8,2.9,3.7,114,131,0,0,NA
Justin Abdelkader,74,7,12,19,15,61,7,0,0,1,11,1,0,129,5.4,910,12:18,0.2,1.5,1.7,39,188,227,203,0.5279069767441861
Drew Miller,67,10,8,18,-2,13,9,1,0,2,8,0,0,85,11.8,787,11:45,0.8,0.7,1.4,58,84,4,13,0.23529411764705882
Mike Modano,40,4,11,15,-4,8,3,0,1,0,6,0,5,79,5.1,498,12:27,0.6,0.3,0.9,10,7,133,141,0.4854014598540146
Jonathan Ericsson,74,3,12,15,8,87,2,0,1,0,12,0,0,89,3.4,1394,18:50,0.3,3.2,3.5,37,107,0,0,NA
Kris Draper,47,6,5,11,1,12,6,0,0,1,5,0,0,57,10.5,491,10:27,0.4,0.5,0.9,11,45,95,73,0.5654761904761905
Ruslan Salei,75,2,8,10,0,48,2,0,0,0,8,0,0,75,2.7,1347,17:58,-0.3,2.4,2.1,109,117,0,0,NA
Jakub Kindl,48,2,2,4,-6,36,2,0,0,0,2,0,0,62,3.2,653,13:37,-0.1,0.7,0.6,36,44,0,0,NA
Cory Emmerton,2,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,17,8:21,0.2,0.1,0.2,0,0,0,1,0
Jan Mursak ,19,1,0,1,-3,4,1,0,0,0,0,0,0,20,5,156,8:12,-0.2,0,-0.2,3,14,3,3,0.5
Tomas Tatar,9,1,0,1,0,0,1,0,0,0,0,0,0,6,16.7,86,9:36,0,0.1,0.1,0,7,0,0,NA
Jimmy Howard,63,0,1,1,0,4,0,0,0,0,NA,NA,NA,0,NA,3615,57:23,0,0,9.9,0,0,0,0,NA
Doug Janik,7,0,0,0,-2,7,0,0,0,0,0,0,0,8,0,93,13:13,-0.1,0,-0.1,7,2,0,0,NA
Joey MacDonald,15,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,721,48:03,0,0,2.4,0,0,0,0,NA
Thomas McCollum,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,15,14:37,0,0,-0.2,NA,0,NA,NA,NA
Chris Osgood,11,0,0,0,0,4,0,0,0,0,NA,NA,NA,0,NA,629,57:09,0,0,1.4,0,0,0,0,NA
