Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,6.3,0.926,98.9,3698,3141,54.1,NA,NA,137,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
League Average,7.4,0.926,NA,3398,3398,NA,NA,NA,148,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
