Team,S%,SV%,PDO,CF,CA,CF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
Detroit Red Wings,7.5,0.921,99.6,3666,2727,57.3,NA,NA,170,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
League Average,7.4,0.926,NA,3261,3261,NA,NA,NA,143,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
