Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,29.3,56,19,27,10,48,.429,125,168,-0.69,0.10,2.23,3.00,17,149,11.41,33,155,78.71,0,4,1528,8.2,1786,.906,99.5,2
League Average,28.1,56,28,22,6,62,.556,162,162,,,,,32,162,19.78,32,162,80.22,4,4,1678,9.7,1678,.903,,4
