Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,28.6,71,17,49,5,39,.275,142,265,-1.70,0.02,2.00,3.73,32,215,14.88,58,226,74.34,4,13,1924,7.4,2329,.886,97.2,1
League Average,27.9,70,35,27,8,78,.558,208,208,,,,,42,208,20.03,42,208,79.97,6,6,2192,9.5,2192,.905,,4
