Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Pavel Datsyuk,81,32,65,97,34,22,20,1,11,3,39,1,25,248,12.9,1556,19:13,8.9,2.6,11.5,33,75,621,489,0.5594594594594594,2009
Henrik Zetterberg,77,31,42,73,13,36,17,2,12,5,24,0,18,309,10,1531,19:53,6.4,1.7,8.1,31,54,624,546,0.5333333333333333,2009
Marián Hossa,74,40,31,71,27,63,30,0,10,8,17,1,13,307,13,1317,17:48,7.7,2.1,9.9,9,69,4,15,0.21052631578947367,2009
Johan Franzén,71,34,25,59,21,44,22,1,11,8,17,0,8,246,13.8,1285,18:06,6,1.9,7.8,22,90,132,105,0.5569620253164557,2009
Nicklas Lidström,78,16,43,59,31,30,6,0,10,4,19,1,23,180,8.9,1936,24:49,5.5,5.7,11.2,66,43,0,0,NA,2009
Brian Rafalski,78,10,49,59,17,20,5,0,5,1,26,0,23,141,7.1,1808,23:10,5,4.4,9.4,64,31,0,0,NA,2009
Jiri Hudler,82,23,34,57,7,16,17,0,6,2,12,0,22,155,14.8,1119,13:39,5.1,1.2,6.3,8,20,12,16,0.42857142857142855,2009
Niklas Kronwall,80,6,45,51,2,50,2,0,4,1,26,1,18,121,5,1832,22:54,3.7,3.2,7,106,94,1,0,1,2009
Mikael Samuelsson,81,19,21,40,0,50,12,0,7,1,8,0,13,257,7.4,1245,15:22,2.5,1,3.5,23,91,2,6,0.25,2009
Dan Cleary,74,14,26,40,0,46,11,0,3,3,23,0,3,163,8.6,1253,16:56,2,1,3,36,107,67,54,0.5537190082644629,2009
Valtteri Filppula,80,12,28,40,9,42,11,0,1,1,25,0,3,129,9.3,1288,16:06,1.7,1.4,3.1,17,41,405,370,0.5225806451612903,2009
Tomas Holmström,53,14,23,37,18,38,6,0,8,1,19,0,4,75,18.7,809,15:16,3,1.4,4.3,4,48,3,5,0.375,2009
Tomas Kopecky,79,6,13,19,-7,46,4,1,1,2,11,0,2,110,5.5,823,10:25,0.2,0.4,0.6,13,107,36,43,0.45569620253164556,2009
Kris Draper,79,7,10,17,-13,40,6,1,0,2,9,1,0,93,7.5,947,11:59,-0.2,0.2,0,20,102,594,393,0.601823708206687,2009
Brett Lebda,65,6,10,16,9,48,6,0,0,1,10,0,0,69,8.7,887,13:39,1.2,2.2,3.4,15,30,1,0,1,2009
Brad Stuart,67,2,13,15,-3,26,1,0,1,0,13,0,0,105,1.9,1355,20:13,0.2,2,2.2,98,154,0,0,NA,2009
Andreas Lilja,60,2,11,13,13,66,2,0,0,0,11,0,0,60,3.3,1020,17:00,0.3,2.7,3.1,90,93,0,1,0,2009
Kirk Maltby,78,5,6,11,-9,28,5,0,0,1,6,0,0,58,8.6,713,9:08,-0.4,0.2,-0.2,23,64,4,6,0.4,2009
Ville Leino,13,5,4,9,5,6,5,0,0,1,4,0,0,17,29.4,165,12:42,1,0.3,1.3,1,3,7,5,0.5833333333333334,2009
Derek Meech,41,2,5,7,-12,12,2,0,0,0,4,0,1,44,4.5,412,10:03,0.4,-0.3,0.2,19,36,0,2,0,2009
Jonathan Ericsson,19,1,3,4,-1,15,1,0,0,0,3,0,0,25,4,336,17:40,0.1,0.5,0.6,12,28,0,0,NA,2009
Aaron Downey,4,1,1,2,0,7,1,0,0,0,1,0,0,2,50,21,5:13,0.3,0,0.3,1,11,0,0,NA,2009
Chris Osgood,46,0,2,2,0,8,0,0,0,0,NA,NA,NA,0,NA,2663,57:53,0,0,4.3,0,0,0,0,NA,2009
Darren McCarty,13,1,0,1,-2,25,1,0,0,0,0,0,0,6,16.7,69,5:17,0,0,0,2,4,2,3,0.4,2009
Darren Helm,16,0,1,1,-7,4,0,0,0,0,1,0,0,29,0,199,12:26,-0.5,-0.1,-0.6,4,37,74,58,0.5606060606060606,2009
Justin Abdelkader,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,9:18,-0.1,0,0,0,3,4,3,0.5714285714285714,2009
Chris Chelios,28,0,0,0,1,18,0,0,0,0,0,0,0,14,0,327,11:40,-0.4,0.6,0.2,12,22,0,0,NA,2009
Ty Conklin,40,0,0,0,0,4,0,0,0,0,NA,NA,NA,0,NA,2246,56:09,0,0,6.2,0,0,0,0,NA,2009
Jimmy Howard,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA,59,58:36,0,0,0,NA,0,NA,NA,NA,2009
