Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Dylan Larkin,71,19,34,53,-21,39,14,0,5,0,25,0,9,223,8.5,1509,21:15,2.9,1.5,4.5,45,52,715,647,0.5249632892804699,2020
Tyler Bertuzzi,71,21,27,48,-23,40,18,0,3,1,16,0,11,129,16.3,1371,19:19,3,1.3,4.3,30,71,4,2,0.6666666666666666,2020
Anthony Mantha,43,16,22,38,-7,34,10,0,6,3,19,0,3,137,11.7,812,18:54,3.1,1,4.1,25,49,16,22,0.42105263157894735,2020
Robby Fabbri,52,14,17,31,-29,18,8,0,6,3,14,0,3,104,13.5,898,17:16,2,0.3,2.3,13,63,26,40,0.3939393939393939,2020
Filip Hronek,65,9,22,31,-38,46,8,0,1,0,13,0,9,125,7.2,1553,23:54,2,1.5,3.6,74,105,0,0,NA,2020
Andreas Athanasiou,46,10,14,24,-45,26,7,0,3,2,10,0,4,115,8.7,761,16:32,1.3,-0.5,0.7,21,28,43,59,0.4215686274509804,2020
Valtteri Filppula,70,6,15,21,-42,24,4,1,1,0,11,0,4,63,9.5,1163,16:37,-0.6,0.2,-0.4,31,28,324,398,0.4487534626038781,2020
Madison Bowey,53,3,14,17,-16,34,3,0,0,0,13,0,1,70,4.3,949,17:54,0.8,1.5,2.3,58,53,0,0,NA,2020
Darren Helm,68,9,7,16,-6,37,8,1,0,0,6,1,0,102,8.8,934,13:44,-0.1,1.2,1.1,26,88,15,13,0.5357142857142857,2020
Filip Zadina,28,8,7,15,-13,2,4,0,4,1,4,0,3,60,13.3,425,15:10,1.1,0.2,1.3,10,11,1,0,1,2020
Mike Green,48,3,8,11,-32,32,2,0,1,1,5,0,3,74,4.1,1011,21:04,0.1,0.5,0.6,63,58,0,0,NA,2020
Luke Glendening,60,6,3,9,-29,14,5,1,0,1,3,0,0,76,7.9,921,15:21,-1.1,0.3,-0.8,68,147,393,307,0.5614285714285714,2020
Frans Nielsen,60,4,5,9,-13,8,3,1,0,0,2,1,2,86,4.7,821,13:41,-1,0.8,-0.2,35,44,210,246,0.4605263157894737,2020
Patrik Nemeth,64,1,8,9,-10,28,1,0,0,1,7,1,0,89,1.1,1410,22:02,-0.8,3.3,2.5,92,80,0,0,NA,2020
Dennis Cholowski,36,2,6,8,-26,6,1,0,1,1,2,0,4,51,3.9,692,19:13,0.1,0,0.1,35,15,0,0,NA,2020
Taro Hirose,26,2,5,7,-12,6,2,0,0,0,0,0,5,21,9.5,326,12:33,0,0.1,0,16,13,0,5,0,2020
Trevor Daley,43,0,7,7,-22,20,0,0,0,0,5,0,2,37,0,673,15:39,-0.1,0.2,0.1,44,9,0,0,NA,2020
Adam Erne,56,2,3,5,-24,28,2,0,0,0,3,0,0,63,3.2,662,11:49,-1.2,0.1,-1,25,142,20,13,0.6060606060606061,2020
Christoffer Ehn,54,2,2,4,-21,2,2,0,0,0,2,0,0,36,5.6,562,10:25,-1,0.1,-0.9,18,59,96,130,0.4247787610619469,2020
Jacob de La Rose,16,1,3,4,3,4,1,0,0,0,3,0,0,15,6.7,196,12:13,-0.1,0.4,0.4,9,32,55,76,0.4198473282442748,2020
Brendan Perlini,39,1,3,4,-18,10,1,0,0,0,3,0,0,47,2.1,420,10:46,-0.7,0,-0.7,10,21,0,0,NA,2020
Danny DeKeyser,8,0,4,4,0,4,0,0,0,0,4,0,0,12,0,176,22:04,0.2,0.5,0.7,18,6,0,0,NA,2020
Givani Smith,21,2,1,3,-2,9,2,0,0,0,1,0,0,22,9.1,203,9:41,-0.1,0.2,0.2,3,42,0,0,NA,2020
Justin Abdelkader,49,0,3,3,-14,25,0,0,0,0,3,0,0,40,0,565,11:32,-1.3,0.3,-0.9,26,103,38,31,0.5507246376811594,2020
Jonathan Bernier,46,0,3,3,0,4,0,0,0,0,3,0,0,0,NA,2566,55:47,0,0,7.2,0,0,0,0,NA,2020
Alex Biega,49,0,3,3,-9,24,0,0,0,0,3,0,0,55,0,805,16:25,-0.7,1.6,0.9,46,115,0,0,NA,2020
Joe Hicketts,6,0,2,2,-5,2,0,0,0,0,2,0,0,6,0,110,18:17,0.1,-0.1,0,13,14,0,0,NA,2020
Sam Gagner,6,1,0,1,-1,2,0,0,1,0,0,0,0,10,10,90,15:05,-0.1,0.1,0,1,3,4,11,0.26666666666666666,2020
