Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage,year
Brian Lashoff,9,0,1,1,1,6,0,0,0,0,1,0,0,6,0,131,14:33,-0.1,0.5,0.4,7,16,0,0,NA,2020
Gustav Lindstrom,16,0,1,1,-6,14,0,0,0,0,0,0,1,9,0,265,16:32,-0.2,0.3,0.1,15,19,0,0,NA,2020
Eric Comrie,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,126,42:05,0,0,0,0,0,0,0,NA,2020
Jonathan Ericsson,18,0,0,0,-12,4,0,0,0,0,0,0,0,16,0,256,14:15,-0.3,-0.2,-0.5,14,24,0,0,NA,2020
Cody Goloubef,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,30,15:11,0,0,0,0,5,0,0,NA,2020
Jimmy Howard,27,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1372,50:48,0,0,2.2,0,0,0,0,NA,2020
Dylan McIlrath,16,0,0,0,-4,23,0,0,0,0,0,0,0,14,0,237,14:49,-0.3,0.4,0.1,12,48,0,0,NA,2020
Calvin Pickard,3,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,165,54:58,0,0,-0.5,0,0,0,0,NA,2020
Evgeny Svechnikov,4,0,0,0,-1,2,0,0,0,0,0,0,0,7,0,33,8:20,-0.1,0,-0.1,1,5,0,0,NA,2020
Dmytro Timashov,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,60,11:54,-0.2,0.1,-0.1,1,10,0,0,NA,2020
