Player Name,Games Played,Goals,Assists,Points,+/-,PIM,Goals Even,Goals Short,Goals Power Play,Goals Game Winner,Assists Even,Assists Short,Assists Power Play,Shots,Shot Percentage,TOI,Average TOI,Offensive Point Share,Defensive Point Share,Point Shares,Blocks,Hits,Faceoff Wins,Faceoff Losses,Faceoff Percentage
Daniel Alfredsson,68,18,31,49,2,10,14,0,4,4,17,0,14,151,11.9,1151,16:56,4.4,1.3,5.8,25,59,5,9,0.35714285714285715
Niklas Kronwall,79,8,41,49,0,44,3,0,5,0,20,1,20,110,7.3,1921,24:19,4.1,4,8.1,154,93,0,0,NA
Gustav Nyquist,57,28,20,48,16,10,22,0,6,6,17,0,3,153,18.3,961,16:51,6,1.7,7.7,14,18,5,4,0.5555555555555556
Henrik Zetterberg,45,16,32,48,19,20,13,0,3,1,18,0,14,151,10.6,925,20:33,4.7,1.8,6.5,15,23,259,230,0.5296523517382413
Johan Franzén,54,16,25,41,6,40,9,0,7,4,15,0,10,149,10.7,954,17:39,3.8,1.3,5.1,23,66,119,106,0.5288888888888889
Tomas Tatar,73,19,20,39,12,30,17,0,2,3,16,0,4,158,12,1048,14:21,3.7,1.7,5.3,20,81,26,26,0.5
Pavel Datsyuk,45,17,20,37,1,6,11,0,6,2,14,0,6,126,13.5,912,20:16,3.6,1,4.6,22,30,446,389,0.5341317365269461
Justin Abdelkader,70,10,18,28,2,31,9,0,1,3,16,0,2,147,6.8,1070,15:17,1.3,1.2,2.6,31,172,23,32,0.41818181818181815
Riley Sheahan,42,9,15,24,8,6,7,0,2,1,12,0,3,59,15.3,607,14:27,2.1,1,3.1,16,25,251,261,0.490234375
Danny DeKeyser,65,4,19,23,10,30,2,1,1,0,16,0,3,84,4.8,1407,21:38,1.3,3.8,5.1,116,64,0,0,NA
Darren Helm,42,12,8,20,2,14,9,2,1,3,8,0,0,83,14.5,637,15:10,1.9,0.8,2.6,16,73,269,279,0.4908759124087591
Brendan Smith,71,5,14,19,-2,68,4,0,1,0,14,0,0,90,5.6,1306,18:23,1.1,2.5,3.7,69,57,0,0,NA
Jakub Kindl,66,2,17,19,-4,24,2,0,0,0,10,0,7,93,2.2,1137,17:14,1,2,3,42,57,0,0,NA
Joakim Andersson,65,8,9,17,-11,12,8,0,0,1,8,1,0,78,10.3,899,13:50,0.3,0.5,0.8,25,26,345,326,0.5141579731743666
Todd Bertuzzi,59,9,7,16,-17,40,3,0,6,0,6,0,1,100,9,865,14:39,0.4,0.2,0.6,14,72,9,9,0.5
Tomas Jurco,36,8,7,15,0,14,6,0,2,0,6,0,1,77,10.4,485,13:28,1.3,0.5,1.8,9,67,0,0,NA
Drew Miller,82,7,8,15,-11,21,7,0,0,1,8,0,0,117,6,1159,14:08,-0.8,0.8,0,63,122,9,14,0.391304347826087
Kyle Quincey,82,4,9,13,-5,88,4,0,0,1,9,0,0,106,3.8,1706,20:48,-0.2,3.1,2.9,109,88,0,0,NA
David Legwand,21,4,7,11,-9,31,2,0,2,2,6,0,1,39,10.3,342,16:16,0.8,0,0.7,9,19,131,137,0.48880597014925375
Jonathan Ericsson,48,1,10,11,2,34,1,0,0,0,9,1,0,66,1.5,1020,21:15,0.1,2.3,2.4,46,91,0,0,NA
Dan Cleary,52,4,4,8,-11,31,4,0,0,1,3,1,0,64,6.3,723,13:54,-0.7,0.3,-0.4,17,51,12,10,0.5454545454545454
Luke Glendening,56,1,6,7,-8,22,1,0,0,0,6,0,0,54,1.9,779,13:55,-1.3,0.5,-0.8,38,92,329,349,0.48525073746312686
Brian Lashoff,75,1,5,6,-2,36,1,0,0,0,5,0,0,38,2.6,1082,14:26,-0.6,2.1,1.5,93,65,0,0,NA
Patrick Eaves,25,2,3,5,-4,2,1,0,1,0,1,0,2,51,3.9,289,11:33,0,0.1,0.1,4,38,7,8,0.4666666666666667
Stephen Weiss,26,2,2,4,-4,12,2,0,0,1,1,1,0,28,7.1,384,14:46,-0.4,0.2,-0.2,10,4,184,173,0.5154061624649859
Mikael Samuelsson,26,1,2,3,-4,6,1,0,0,0,0,0,2,36,2.8,269,10:21,-0.3,0.1,-0.2,3,13,0,2,0
Cory Emmerton,18,0,2,2,-2,4,0,0,0,0,2,0,0,22,0,161,8:57,-0.2,0.1,-0.1,5,7,58,49,0.5420560747663551
Adam Almqvist,2,1,0,1,-1,0,1,0,0,0,0,0,0,2,50,34,17:13,0.2,0,0.2,0,1,0,0,NA
Jordin Tootoo,11,0,1,1,-3,5,0,0,0,0,1,0,0,11,0,77,6:59,-0.1,0,-0.1,1,27,0,0,NA
Mitch Callahan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9,9:01,0,0,0,0,2,0,0,NA
Landon Ferraro,4,0,0,0,0,2,0,0,0,0,0,0,0,2,0,36,8:59,-0.1,0,-0.1,2,7,0,0,NA
Jonas Gustavsson,27,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,1551,57:26,0,0,3.9,0,0,0,0,NA
Jimmy Howard,51,0,0,0,NA,6,0,0,0,0,0,0,0,0,NA,3004,58:54,0,0,8.3,0,0,0,0,NA
Alexey Marchenko,1,0,0,0,2,2,0,0,0,0,0,0,0,0,NA,13,13:21,0,0.2,0.2,0,0,0,0,NA
Petr Mrazek,9,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,449,49:51,0,0,1.4,0,0,0,0,NA
Xavier Ouellet,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0,58,14:34,-0.1,0.1,0,1,7,0,0,NA
Teemu Pulkkinen,3,0,0,0,0,2,0,0,0,0,0,0,0,4,0,22,7:28,-0.1,0,0,0,2,0,0,NA
Ryan Sproul,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,18:25,0,0,0,2,2,0,0,NA
