Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,28.2,48,24,16,8,56,.583,122,110,0.20,0.01,2.54,2.29,34,185,18.38,30,164,81.71,3,5,1447,8.4,1322,.917,100.2,5
League Average,27.6,48,24,19,5,53,.556,127,127,,,,,29,160,18.22,29,160,81.78,3,3,1399,9.1,1399,.909,,4
