Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
Detroit Red Wings,28.4,82,33,36,13,79,.482,198,244,-0.41,0.04,2.41,2.98,38,252,15.08,45,235,80.85,3,9,2335,8.5,2507,.903,99.6,4
League Average,28.0,82,41,31,10,92,.559,223,223,,,,,47,245,19.10,47,245,80.90,6,6,2478,9.0,2478,.910,,5
